slug,left,top,right,bottom,face_top_frac,face_centre_frac,face_bottom_frac,clamped
aaron-hickey,1062,187,1619,883,0.1494,0.2744,0.3994,False
achraf-hakimi,1252,114,2391,1538,0.1503,0.2753,0.4003,False
adam-marusic,722,44,1874,1484,0.15,0.275,0.4,False
ademola-lookman,1051,0,2833,2227,0.0454,0.1828,0.3202,True
adrien-rabiot,1142,177,2185,1481,0.1503,0.2753,0.4003,False
albert-gudmundsson,1054,183,1550,803,0.15,0.275,0.4,False
aleix-garcia,2040,27,3452,1791,0.1502,0.2752,0.4002,False
alejandro-balde,1636,342,2632,1586,0.1503,0.2753,0.4003,False
alejandro-catena,1122,0,2062,1176,0.1207,0.2457,0.3707,True
alejandro-garnacho,967,142,1799,1182,0.15,0.275,0.4,False
aleksandar-mitrovic,1340,112,2608,1696,0.1503,0.2753,0.4003,False
alessandro-bastoni,1509,259,4117,3519,0.15,0.275,0.4,False
alessandro-buongiorno,1352,178,2081,1090,0.1502,0.2752,0.4002,False
alessio-romagnoli,859,168,2056,1664,0.1497,0.2747,0.3997,False
alex-baena,1177,357,2941,2561,0.1502,0.2752,0.4002,False
alex-grimaldo,1110,0,2685,1969,0.1463,0.3608,0.5754,True
alex-meret,796,0,1948,1440,0.084,0.209,0.334,True
alex-moreno,1230,466,2302,1806,0.15,0.275,0.4,False
alex-remiro,1162,0,2890,2160,0.1162,0.275,0.4338,True
alexander-isak,1128,43,2389,1619,0.1497,0.2747,0.3997,False
alexander-sorloth,672,64,2515,2368,0.1502,0.2752,0.4002,False
alexandr-golovin,1385,299,2316,1463,0.1503,0.2753,0.4003,False
alexis-mac-allister,843,10,2338,1878,0.2473,0.3723,0.4973,True
alexis-saelemaekers,620,282,1976,1978,0.1498,0.2748,0.3998,False
alfonso-pedraza,1466,209,2496,1497,0.1498,0.2748,0.3998,False
alfred-duncan,276,0,2690,3018,0.1034,0.2719,0.4404,True
alisson,1098,0,2826,2160,0.2148,0.3671,0.5194,True
allan-saint-maximin,1127,0,2647,1900,0.1037,0.2582,0.4126,True
alphonso-davies,1374,117,2302,1277,0.15,0.275,0.4,False
alvaro-fidalgo,257,63,1908,2127,0.1502,0.2752,0.4002,False
alvaro-garcia,1320,192,2731,1956,0.1502,0.2752,0.4002,False
alvaro-morata,852,0,2580,2160,0.275,0.4338,0.5926,True
amadou-haidara,1012,480,2381,2192,0.1501,0.2751,0.4001,False
amir-rrahmani,1490,205,2236,1137,0.1502,0.2752,0.4002,False
ander-barrenetxea,2196,80,3048,1144,0.1504,0.2754,0.4004,False
andre-franck-zambo-anguissa,1496,142,2114,914,0.1503,0.2753,0.4003,False
andrea-cambiaso,1051,0,2577,1908,0.1195,0.2445,0.3695,True
andrea-colpani,1962,0,4483,3152,0.1494,0.2744,0.3994,True
andreas-christensen,1132,173,1682,861,0.1497,0.2747,0.3997,False
andrej-kramaric,1032,0,2452,1776,0.0929,0.2179,0.3429,True
andrew-robertson,1640,0,4353,3392,0.2193,0.3653,0.5112,True
andriy-lunin,1382,84,2678,1704,0.15,0.275,0.4,False
angel-di-maria,901,0,2629,2160,0.1032,0.2535,0.4037,True
ansu-fati,788,0,2516,2160,0.2042,0.3479,0.4917,True
anthony-gordon,881,0,2501,2024,0.2342,0.4261,0.6181,True
antoine-griezmann,1114,10,2819,2142,0.1501,0.2751,0.4001,False
antonio-rudiger,1028,0,2756,2160,0.1333,0.291,0.4486,True
antonio-silva,0,154,3053,3970,0.1499,0.2826,0.4154,True
antony,528,100,1716,1584,0.1503,0.2753,0.4003,False
arkadiusz-milik,764,9,2512,2193,0.1502,0.2752,0.4002,False
arnaut-danjuma,177,24,1758,2000,0.1554,0.2804,0.4054,True
artem-dovbyk,1386,0,3498,2640,0.1894,0.3267,0.464,True
arthur,1646,0,4846,4000,0.26,0.392,0.524,True
aurelien-tchouameni,1044,0,2844,2250,0.112,0.2418,0.3716,True
axel-disasi,710,0,2438,2160,0.1421,0.3192,0.4963,True
aymeric-laporte,960,0,2760,2250,0.1569,0.3189,0.4809,True
ayoze-perez,469,372,1384,1516,0.1503,0.2753,0.4003,False
ben-chilwell,974,27,2590,2047,0.15,0.275,0.4,False
ben-davies,1264,70,2279,1338,0.1498,0.2748,0.3998,False
benjamin-henrichs,600,0,1464,1080,0.138,0.3009,0.4639,True
benjamin-pavard,1178,134,2462,1738,0.1502,0.2752,0.4002,False
benjamin-white,1090,0,2818,2160,0.1806,0.3308,0.481,True
benoit-badiashile,841,52,1664,1080,0.1498,0.2748,0.3998,False
bernardo-silva,1128,0,2856,2160,0.1569,0.3255,0.494,True
bernd-leno,1201,221,2670,2057,0.1498,0.2748,0.3998,False
beto,1383,0,3957,3218,0.1377,0.2676,0.3975,True
billy-gilmour,952,0,2916,2455,0.2538,0.4405,0.6273,True
borja-iglesias,915,316,1612,1188,0.1502,0.2752,0.4002,False
borja-mayoral,766,452,1486,1352,0.15,0.275,0.4,False
boubacar-kamara,1220,23,2464,1579,0.1497,0.2747,0.3997,False
bradley-barcola,1561,0,3777,2771,0.1591,0.29,0.4208,True
