Format,Scope,Constraint
Auction,All players,Not applicable
Auction,Top 5 leagues,Not applicable
Auction,League: Serie A,Not applicable
Auction,League: Premier Division,Not applicable
Deal or No Deal,All players,Not applicable
Deal or No Deal,Top 5 leagues,Not applicable
Free Pick,All players,No constraints
Free Pick,All players,1 per club
Free Pick,All players,3 per club
Free Pick,All players,1 per nationality
Free Pick,All players,3 per nationality
Free Pick,Top 5 leagues,No constraints
Free Pick,Top 5 leagues,1 per club
Free Pick,Top 5 leagues,3 per club
Free Pick,Top 5 leagues,1 per nationality
Free Pick,Top 5 leagues,3 per nationality
Free Pick,League: Serie A,No constraints
Free Pick,League: Premier Division,No constraints
Free Pick,League: Premier Division,3 per club
Free Pick,League: Premier Division,3 per nationality
Spin the Wheel,All players,Not applicable
Spin the Wheel,Top 5 leagues,Not applicable
Spin the Wheel,League: Serie A,Not applicable
Spin the Wheel,League: Premier Division,Not applicable
