Kylian Mbappé,Erling Haaland,Vinícius Júnior
Rodri,Jude Bellingham,Florian Wirtz
Harry Kane,Bukayo Saka,William Saliba
Cole Palmer,Jamal Musiala,Declan Rice
Phil Foden,Martin Ødegaard,Federico Valverde
Alessandro Bastoni,Gianluigi Donnarumma,Thibaut Courtois
Mike Maignan,Rúben Dias,Trent Alexander-Arnold
Lautaro Martínez,Nicolò Barella,Pedri
Achraf Hakimi,Alexander Isak,Viktor Gyökeres
Ousmane Dembélé,Rafael Leão,Bruno Fernandes
Gabriel,Éder Militão,Ronald Araujo
Jules Koundé,Joško Gvardiol,Moisés Caicedo
Vitinha,Khvicha Kvaratskhelia,Raphinha
Alisson,Luka Modric,Lionel Messi
Robert Lewandowski,Virgil van Dijk,Antoine Griezmann
David Raya,Jan Oblak,Emiliano Martínez
Diogo Costa,Gregor Kobel,Antonio Rüdiger
Cristian Romero,Ibrahima Konaté,Dayot Upamecano
Nico Schlotterbeck,Bremer,Gavi
Eduardo Camavinga,Aurélien Tchouameni,Frenkie de Jong
Alexis Mac Allister,Bruno Guimarães,Joshua Kimmich
Hakan Çalhanoglu,Sandro Tonali,Michael Olise
Nico Williams,Luis Díaz,Rodrygo
Julián Álvarez,Ollie Watkins,Victor Osimhen
Matthijs de Ligt,Marc Guéhi,Micky van de Ven
Pedro Porro,Destiny Udogie,Jurriën Timber
Benjamin White,Reece James,Marc Cucurella
Ferland Mendy,Nuno Mendes,Pau Torres
Sven Botman,Gabriel Martinelli,Jérémy Doku
Sávio,Alejandro Garnacho,Anthony Gordon
Harvey Barnes,Ebere Eze,Mohammed Kudus
Jarrod Bowen,Bryan Mbeumo,Alexander Sørloth
Jonathan David,Rasmus Højlund,Marcus Rashford
Cody Gakpo,Darwin Núñez,Nicolas Jackson
Evanilson,Matheus Cunha,Dominic Solanke
Beto,Callum Wilson,Ivan Toney
Youssef En-Nesyri,Terem Moffi,Serhou Guirassy
Loïs Openda,Donyell Malen,Karim Adeyemi
Serge Gnabry,Kingsley Coman,Leroy Sané
Moussa Diaby,Allan Saint-Maximin,Neymar
Sadio Mané,Riyad Mahrez,Yannick Carrasco
Otávio,Talisca,Cristiano Ronaldo
Karim Benzema,Aleksandar Mitrovic,Edin Džeko
Mauro Icardi,Dušan Vlahovic,Arkadiusz Milik
Moise Kean,Gianluca Scamacca,Artem Dovbyk
Giacomo Raspadori,Federico Chiesa,Matteo Politano
Riccardo Orsolini,Domenico Berardi,Mattia Zaccagni
Vincenzo Grifo,Jesper Karlsson,Albert Guðmundsson
Ademola Lookman,Charles De Ketelaere,Teun Koopmeiners
Mario Pašalic,Ederson,Marten de Roon
Ismaël Bennacer,Ruben Loftus-Cheek,Tijjani Reijnders
Youssouf Fofana,Manuel Locatelli,Douglas Luiz
Weston McKennie,Khephren Thuram,Arthur
Davide Frattesi,Piotr Zielinski,Henrikh Mkhitaryan
Stanislav Lobotka,André-Franck Zambo Anguissa,Scott McTominay
Billy Gilmour,Bryan Cristante,Lorenzo Pellegrini
Mikel Merino,Thomas Partey,Granit Xhaka
Robert Andrich,Exequiel Palacios,Aleix García
Xaver Schlager,Konrad Laimer,Leon Goretzka
Marcel Sabitzer,Emre Can,Felix Nmecha
Valentin Rongier,Séko Fofana,Geoffrey Kondogbia
Denis Zakaria,Boubacar Kamara,Mateus Uribe
Fred,Kevin Kampl,Kevin De Bruyne
Bernardo Silva,Matheus Nunes,Mateo Kovacic
Rico Lewis,Trevoh Chalobah,Curtis Jones
Harvey Elliott,Fábio Vieira,Emile Smith Rowe
Daichi Kamada,James Maddison,Pape Matar Sarr
Rodrigo Bentancur,Yves Bissouma,Giovani Lo Celso
Lucas Paquetá,Edson Álvarez,James Ward-Prowse
Ross Barkley,John McGinn,Youri Tielemans
Jacob Ramsey,Joe Willock,Joelinton
Santi Comesaña,Álvaro Fidalgo,Sergio Canales
Isco,Ayoze Pérez,Gerard Moreno
Iago Aspas,Borja Iglesias,Álvaro Morata
Mikel Oyarzábal,Takumi Minamino,Alexandr Golovin
Ludovic Blas,Thomas Lemar,Pablo Sarabia
Denis Suárez,Carles Pérez,Javi Guerra
Oihan Sancet,Álex Baena,Rodrigo Riquelme
Ander Barrenetxea,Iñaki Williams,Dani Vivian
Aymeric Laporte,Robin Le Normand,José Giménez
Mario Hermoso,Reinildo,Axel Disasi
Benoît Badiashile,Levi Colwill,Wesley Fofana
Odilon Kossounou,Giorgio Scalvini,Sead Kolašinac
Alessandro Buongiorno,Amir Rrahmani,Juan Foyth
Marcão,Diego Llorente,Luiz Felipe
Philipp Lienhart,Matthias Ginter,Ramy Bensebaïni
Lukas Klostermann,Willi Orbán,Benjamin Henrichs
Julian Ryerson,Jonathan Tah,Edmond Tapsoba
Lutsharel Geertruida,Takehiro Tomiyasu,Ben Chilwell
Lucas Digne,Kieran Tierney,Andrew Robertson
Aaron Hickey,Rico Henry,Javi Galán
Álex Moreno,Alfonso Pedraza,Cristiano Biraghi
Leonardo Spinazzola,Carlos Augusto,Federico Dimarco
Andrea Cambiaso,Davide Zappacosta,Matteo Ruggeri
Miguel Gutiérrez,David Raum,Robin Gosens
Ferdi Kadioglu,Yan Couto,Jeremie Frimpong
Noussair Mazraoui,Kenny Tete,Héctor Bellerín
Giovanni Di Lorenzo,Adam Marušic,Francesco Acerbi
Alessio Romagnoli,Gianluca Mancini,Fabian Schär
Dan Burn,Tyrone Mings,Ezri Konsa
Victor Lindelöf,Harry Maguire,Joachim Andersen
Lewis Dunk,Jan Paul van Hecke,Manuel Akanji
Nathan Aké,John Stones,David Alaba
Mats Hummels,Thiago Silva,Sergio Ramos
Nicolás Otamendi,Sebastián Coates,Kalidou Koulibaly
Milan Škriniar,Mouctar Diakhaby,Igor Zubeldia
Patric,Alejandro Catena,Jorge Cuenca
Facundo Medina,Kevin Danso,Dávid Hancko
Manuel Neuer,Marc-André ter Stegen,Kevin Trapp
Bernd Leno,Nick Pope,Jordan Pickford
Jason Steele,Robert Sánchez,Kepa Arrizabalaga
Ðorde Petrovic,Guglielmo Vicario,Lucas Perri
Brice Samba,Yann Sommer,Wojciech Szczesny
David De Gea,Alex Meret,Ivan Provedel
Michele Di Gregorio,Justin Bijlow,Walter Benítez
Unai Simón,Álex Remiro,David Soria
Yassine Bounou,Édouard Mendy,Keylor Navas
Marcelo Brozovic,Fabinho,N'Golo Kanté
Nemanja Matic,Renato Sanches,Lucas Torreira
Matías Vecino,Hidemasa Morita,Fredrik Aursnes
Florentino Luís,Morten Hjulmand,Cheick Doucouré
Christian Nørgaard,Mathias Jensen,Lewis Ferguson
Nicolò Fagioli,Nicolò Rovella,Brennan Johnson
Myles Lewis-Skelly,Yan Diomandé,António Silva
Ousmane Diomande,Ansu Fati,Yangel Herrera
Igor,Nordi Mukiele,Edon Zhegrova
Christian Pulisic,David Neres,Kang-In Lee
Marco Asensio,Brahim Díaz,Duván Zapata
Jonas Hofmann,Amadou Haïdara,Nicolò Zaniolo
Noah Okafor,Samuel Chukwueze,João Félix
Memphis Depay,Breel Embolo,Umar Sadiq
Patrik Schick,Enes Ünal,Borja Mayoral
Victor Boniface,Joshua Zirkzee,Arnaut Danjuma
Pedro Gonçalves,Eljif Elmas,Dominik Szoboszlai
Koke,Pepê,Fikayo Tomori
Benjamin Pavard,Lucas Vázquez,Dani Ceballos
Dani Carvajal,Álex Grimaldo,Callum Hudson-Odoi
Nayef Aguerd,Kurt Zouma,Presnel Kimpembe
Lucas Ocampos,Arthur,Ivan Ilic
Marc Roca,Valentin Rongier,Alfred Duncan
Guido Rodríguez,Íñigo Ruiz de Galarreta,Sebastián Coates
João Mário,Pepê,João Palhinha
Danilo Pereira,João Cancelo,João Pedro
Rúben Neves,Diogo Dalot,Gonçalo Guedes
Ricardo Horta,Gonçalo Ramos,Álvaro García
Suso,Gerard Moreno,Álex Baena
Yeremy Pino,Ilias Akhomach,Ayoze Pérez
Dani Parejo,Santi Comesaña,Étienne Capoue
Mikel Merino,Martín Zubimendi,Takefusa Kubo
Brais Méndez,Mikel Oyarzábal,Ander Barrenetxea
Iñaki Williams,Nico Williams,Oihan Sancet
Dani Vivian,Aitor Paredes,Yuri
Javi Galán,Álex Moreno,Alfonso Pedraza
Pervis Estupiñán,Rico Henry,Aaron Hickey
Matty Cash,Ezri Konsa,Pau Torres
Diego Carlos,Tyrone Mings,Dan Burn
Fabian Schär,Sven Botman,Jamaal Lascelles
Kieran Trippier,Tino Livramento,Malo Gusto
Reece James,Ben Chilwell,Marc Cucurella
Levi Colwill,Benoît Badiashile,Axel Disasi
Wesley Fofana,Trevoh Chalobah,Thiago Silva
Marquinhos,Presnel Kimpembe,Lucas Beraldo
Milan Škriniar,Danilo Pereira,Nordi Mukiele
Achraf Hakimi,Nuno Mendes,Lucas Hernández
Gianluigi Donnarumma,Keylor Navas,Arnau Tenas
Mike Maignan,Theo Hernández,Fikayo Tomori
Malick Thiaw,Pierre Kalulu,Davide Calabria
Alessandro Florenzi,Ismaël Bennacer,Ruben Loftus-Cheek
Tijjani Reijnders,Christian Pulisic,Rafael Leão
Noah Okafor,Samuel Chukwueze,Luka Jovic
Olivier Giroud,Zlatan Ibrahimovic,Edin Džeko
Lautaro Martínez,Marcus Thuram,Marko Arnautovic
Hakan Çalhanoglu,Henrikh Mkhitaryan,Nicolò Barella
Federico Dimarco,Denzel Dumfries,Matteo Darmian
Alessandro Bastoni,Francesco Acerbi,Stefan de Vrij
Benjamin Pavard,Yann Sommer,Wojciech Szczesny
Bremer,Federico Gatti,Danilo
Manuel Locatelli,Adrien Rabiot,Weston McKennie
Filip Kostic,Timothy Weah,Federico Chiesa
Dušan Vlahovic,Arkadiusz Milik,Moise Kean
Ciro Immobile,Mattia Zaccagni,Felipe Anderson
Luis Alberto,Daichi Kamada,Matteo Guendouzi
Nicolò Rovella,Danilo Cataldi,Alessio Romagnoli
Gianluca Mancini,Evan N'Dicka,Chris Smalling
Rick Karsdorp,Leonardo Spinazzola,Zeki Çelik
Bryan Cristante,Leandro Paredes,Lorenzo Pellegrini
Paulo Dybala,Romelu Lukaku,Stephan El Shaarawy
Victor Osimhen,Khvicha Kvaratskhelia,Matteo Politano
Jesper Lindstrøm,Cyril Ngonge,Giovanni Simeone
Stanislav Lobotka,André-Franck Zambo Anguissa,Piotr Zielinski
Mathías Olivera,Mário Rui,Giovanni Di Lorenzo
Amir Rrahmani,Juan Jesus,Natan
Alex Meret,Ivan Provedel,Guglielmo Vicario
