Kylian Mbappé,Erling Haaland,Rodri
Vinícius Júnior,Jude Bellingham,Harry Kane
Kevin De Bruyne,Mohamed Salah,Martin Ødegaard
Virgil van Dijk,Alisson,Thibaut Courtois
Gianluigi Donnarumma,Lautaro Martínez,Florian Wirtz
Bukayo Saka,Phil Foden,Federico Valverde
Jamal Musiala,Antoine Griezmann,Bernardo Silva
Antonio Rüdiger,Rúben Dias,Robert Lewandowski
William Saliba,Alessandro Bastoni,Nicolò Barella
Marc-André ter Stegen,Gregor Kobel,Jan Oblak
Declan Rice,Bruno Fernandes,Cole Palmer
Rafael Leão,Khvicha Kvaratskhelia,Alexis Mac Allister
Trent Alexander-Arnold,Joshua Kimmich,Theo Hernández
Achraf Hakimi,Marquinhos,Gabriel
Éder Militão,Ronald Araujo,Pedri
Gavi,Dani Olmo,Nico Williams
Raphinha,Ousmane Dembélé,Alexander Isak
Victor Osimhen,Viktor Gyökeres,Julián Álvarez
Rodrygo,Aurélien Tchouameni,Eduardo Camavinga
Frenkie de Jong,Vitinha,Bruno Guimarães
Moisés Caicedo,Heung-Min Son,Lionel Messi
Cristiano Ronaldo,Mike Maignan,David Raya
Diogo Costa,Unai Simón,Álex Grimaldo
Jules Koundé,Cristian Romero,Bremer
Jonathan Tah,Nico Schlotterbeck,John Stones
Joško Gvardiol,Michael Olise,Bradley Barcola
Gabriel Martinelli,Luis Díaz,Leroy Sané
Kingsley Coman,Serge Gnabry,Mikel Merino
Sandro Tonali,Martín Zubimendi,Exequiel Palacios
Hakan Çalhanoglu,Federico Dimarco,Andrew Robertson
Benjamin White,Jeremie Frimpong,Pedro Porro
Dani Carvajal,Pau Torres,Ibrahima Konaté
Dayot Upamecano,Matthijs de Ligt,Manuel Akanji
Marc Guéhi,Kim Min-Jae,Giorgi Mamardashvili
Emiliano Martínez,Yann Sommer,Ederson
Piotr Zielinski,Tijjani Reijnders,Stanislav Lobotka
Ollie Watkins,Victor Boniface,Dušan Vlahovic
Serhou Guirassy,Loïs Openda,Marcus Thuram
Ademola Lookman,Christian Pulisic,Xavi Simons
James Maddison,Ebere Eze,Álex Baena
Takefusa Kubo,Mikel Oyarzábal,Axel Disasi
Matheus Nunes,Jordan Henderson,Álex Moreno
Harry Maguire,Luis Alberto,Lewis Dunk
Kai Havertz,Alfonso Pedraza,Marcos Alonso
David Raum,Gonçalo Guedes,Noussair Mazraoui
Fabián,Billy Gilmour,Harvey Barnes
Isco,Nicolò Fagioli,Alejandro Balde
Sebastian Szymanski,Ricardo Horta,Wesley Fofana
Lisandro Martínez,Cody Gakpo,Ferland Mendy
Mario Hermoso,Héctor Herrera,Álvaro García
Manuel Ugarte,Kalidou Koulibaly,Séko Fofana
Ellyes Skhiri,Ben Davies,Denzel Dumfries
Lucas Perri,Giovani Lo Celso,Giacomo Raspadori
Eric García,Rodrigo Riquelme,Mathías Olivera
Robert Sánchez,Tammy Abraham,Alejandro Catena
Matthias Ginter,Youssouf Fofana,Sávio
Ferran Torres,Christopher Nkunku,Karim Adeyemi
Dominic Calvert-Lewin,Evan N'Dicka,Joachim Andersen
Mathias Jensen,João Félix,Conor Gallagher
Diogo Dalot,Alex Meret,Amadou Haïdara
Nicolò Zaniolo,Noah Okafor,Santi Comesaña
Benjamin Pavard,Gianluca Scamacca,Carlos Soler
Carles Pérez,Morten Hjulmand,Rodrigo Bentancur
Kepa Arrizabalaga,Andriy Lunin,Alessio Romagnoli
Kieran Trippier,Guido Rodríguez,Íñigo Ruiz de Galarreta
Luiz Felipe,Alexis Saelemaekers,Borja Mayoral
Ivan Provedel,Yangel Herrera,Brennan Johnson
Edin Džeko,Jan Paul van Hecke,David Alaba
Weston McKennie,Davide Zappacosta,Marcelo Brozovic
Arkadiusz Milik,Tino Livramento,Edon Zhegrova
Riccardo Orsolini,Reiss Nelson,Mateo Kovacic
Aymeric Laporte,Juan Foyth,Álvaro Morata
Lucas Ocampos,Sergej Milinkovic-Savic,Marc Roca
Henrikh Mkhitaryan,Yves Bissouma,Breel Embolo
Keylor Navas,Fredrik Aursnes,Umar Sadiq
Nuno Mendes,Ruben Loftus-Cheek,Darwin Núñez
Federico Chiesa,Donyell Malen,Richarlison
Randal Kolo Muani,Florentino Luís,Nikola Vlašic
Matías Vecino,Kenny Tete,Mario Pašalic
Walter Benítez,Nordi Mukiele,Raheem Sterling
Noa Lang,James Ward-Prowse,Justin Kluivert
Javi Galán,Hidemasa Morita,Thiago Silva
Domenico Berardi,Emile Smith Rowe,Artem Dovbyk
Oleksandr Zinchenko,Jordan Pickford,Philipp Lienhart
Ross Barkley,Andrea Colpani,Ramy Bensebaïni
Patric,Valentin Rongier,António Silva
Bukayo Saka,Alexander Isak,David Raya
Julian Brandt,Jurriën Timber,Federico Gatti
Nicolò Rovella,Kang-In Lee,Lorenzo Pellegrini
Ayoze Pérez,Paulo Dybala,Kurt Zouma
David Soria,Giorgio Scalvini,Vincenzo Grifo
Moussa Diaby,Dávid Hancko,Bernd Leno
Enzo Fernández,Nayef Aguerd,Marcel Sabitzer
Nico Williams,Leandro Trossard,Danilo Pereira
Allan Saint-Maximin,Pablo Sarabia,Joelinton
Yann Sommer,Ederson,Kevin Kampl
Mason Mount,Olivier Giroud,Lucas Digne
Justin Bijlow,Thomas Müller,Kostas Tsimikas
Daichi Kamada,Granit Xhaka,Luka Modric
Andreas Christensen,Robert Andrich,João Cancelo
Iñaki Williams,Joshua Zirkzee,Talisca
Ludovic Blas,Benjamin Henrichs,Gonçalo Ramos
Jonathan Tah,José Giménez,Willi Orbán
Antony,Ousmane Diomande,Iago Aspas
Alexandr Golovin,Viktor Gyökeres,Pau Torres
Danny Welbeck,Lautaro Martínez,Denis Zakaria
Pedro Porro,Rúben Neves,Kevin Danso
