Name,Nation,Age,Club,Position,Current Ability,League
Kevin De Bruyne,Belgium,35,Napoli,"AMF, RW, LW",190.0,Serie A
Erling Haaland,Norway,25,Manchester City,ST,188.0,Premier Division
Kylian Mbappé,France,27,Real Madrid,"RW, LW, ST",188.0,First Division
Lionel Messi,Argentina,39,Inter Miami,"AMF, RW, ST",185.0,MLS
Harry Kane,England,32,Bayern Munich,"AMF, ST",184.0,Bundesliga
Vinícius Júnior,Brazil,26,Real Madrid,"RW, LW, ST",184.0,First Division
Thibaut Courtois,Belgium,34,Real Madrid,GK,181.0,First Division
Mohamed Salah,Egypt,34,Trabzonspor,"RW, LW, ST",181.0,Super League
Rodri,Spain,30,Manchester City,"CB, CDM",180.0,Premier Division
Ederson,Brazil,32,Fenerbahçe,GK,149.0,Serie A
Virgil van Dijk,Netherlands,35,Liverpool,CB,178.0,Premier Division
Bernardo Silva,Portugal,31,Real Madrid,"AMF, RW",178.0,First Division
Robert Lewandowski,Poland,37,Chicago,ST,178.0,MLS
Jude Bellingham,England,23,Real Madrid,"CDM, AMF",177.0,First Division
Alisson,Brazil,33,Liverpool,GK,176.0,Premier Division
Declan Rice,England,27,Arsenal,"CB, CDM",176.0,Premier Division
Neymar,Brazil,34,SAN,"AMF, LW, ST",175.0,Second Division
Marc-André ter Stegen,Germany,34,Ajax,GK,175.0,Eredivisie
Joshua Kimmich,Germany,31,Bayern Munich,"RB, CDM",174.0,Bundesliga
Bukayo Saka,England,24,Arsenal,"RW, LW",174.0,Premier Division
Martin Ødegaard,Norway,27,Arsenal,AMF,173.0,Premier Division
Rúben Dias,Portugal,29,Manchester City,CB,173.0,Premier Division
Lautaro Martínez,Argentina,28,Inter,ST,173.0,Serie A
Antoine Griezmann,France,35,Orlando City,"AMF, RW, LW, ST",172.0,MLS
Bruno Fernandes,Portugal,31,Manchester United,"AMF, RW",171.0,Premier Division
Luka Modric,Croatia,40,AC Milan,AMF,171.0,Serie A
Jan Oblak,Slovenia,33,Atletico Madrid,GK,171.0,First Division
Ronald Araujo,Uruguay,27,Liverpool,"CB, RB",170.0,Premier Division
Eduardo Camavinga,France,23,Real Madrid,"LB, CDM",170.0,First Division
Heung-Min Son,South Korea,34,LAFC,"LW, ST",170.0,MLS
Phil Foden,England,26,Manchester City,"AMF, RW, LW",169.0,Premier Division
Victor Osimhen,Nigeria,27,Galatasaray,ST,169.0,Super League
Leroy Sané,Germany,30,Galatasaray,"AMF, RW, LW",169.0,Super League
Rodrygo,Brazil,25,Real Madrid,"RW, LW, ST",168.0,First Division
Federico Valverde,Uruguay,27,Real Madrid,"AMF, RW",168.0,First Division
Ousmane Dembélé,France,29,PSG,"RW, LW",167.0,Ligue 1 Uber Eats
Ilkay Gündogan,Germany,35,Galatasaray,"CDM, AMF",167.0,Super League
John Stones,England,32,Inter,"CB, RB, CDM",166.0,Serie A
Éder Militão,Brazil,28,Real Madrid,CB,166.0,First Division
Antonio Rüdiger,Germany,33,Real Madrid,CB,166.0,First Division
Gabriel Jesus,Brazil,29,Arsenal,"RW, LW, ST",165.0,Premier Division
Bruno Guimarães,Brazil,28,Arsenal,CDM,165.0,Premier Division
Frenkie de Jong,Netherlands,29,Barcelona,CDM,165.0,First Division
Karim Benzema,France,38,Al-Hilal,ST,165.0,Saudi Pro League
Jack Grealish,England,30,Manchester City,"AMF, RW, LW",164.0,Premier Division
William Saliba,France,25,Arsenal,CB,164.0,Premier Division
Kyle Walker,England,36,Burnley,RB,164.0,Sky Bet Championship
Rafael Leão,Portugal,27,AC Milan,"LW, ST",163.0,Serie A
Marquinhos,Brazil,32,PSG,"CB, CDM",163.0,Ligue 1 Uber Eats
Manuel Neuer,Germany,40,Bayern Munich,GK,162.0,Bundesliga
Luis Díaz,Colombia,29,Bayern Munich,"RW, LW",162.0,Bundesliga
Kim Min-Jae,South Korea,29,Bayern Munich,CB,162.0,Bundesliga
Cristian Romero,Argentina,28,Tottenham,CB,162.0,Premier Division
Christopher Nkunku,France,28,AC Milan,"AMF, RW, LW, ST",162.0,Serie A
Trent Alexander-Arnold,England,27,Real Madrid,"RB, CDM",162.0,First Division
Pedri,Spain,23,Barcelona,"AMF, RW, LW",162.0,First Division
Khvicha Kvaratskhelia,Georgia,25,PSG,LW,162.0,Ligue 1 Uber Eats
Kingsley Coman,France,30,Al-Nassr,"RW, LW",162.0,Saudi Pro League
Reece James,England,26,Chelsea,"CB, RB",161.0,Premier Division
Gianluigi Donnarumma,Italy,27,Manchester City,GK,161.0,Premier Division
Nicolò Barella,Italy,29,Inter,CM,161.0,Serie A
Lucas Hernández,France,30,PSG,"CB, LB",161.0,Ligue 1 Uber Eats
Achraf Hakimi,Morocco,27,PSG,"RB, RM",161.0,Ligue 1 Uber Eats
Raheem Sterling,England,31,Free Agent,"RW, LW",161.0,-
Gabriel Martinelli,Brazil,25,Arsenal,"RW, LW, ST",160.0,Premier Division
Marcus Rashford,England,28,Manchester United,"LW, ST",160.0,Premier Division
Dejan Kulusevski,Sweden,26,Tottenham,"AMF, RW",160.0,Premier Division
Hakan Çalhanoglu,Türkiye,32,Inter,"CDM, AMF",160.0,Serie A
Cristiano Ronaldo,Portugal,41,Al-Nassr,ST,160.0,Saudi Pro League
Marco Verratti,Italy,33,Al-Duhail,CDM,160.0,Stars League
Sergej Milinkovic-Savic,Serbia,31,Al-Hilal,AMF,160.0,Saudi Pro League
N'Golo Kanté,France,35,Fenerbahçe,CDM,160.0,Super League
James Maddison,England,29,Tottenham,"AMF, RW, LW",159.0,Premier Division
Luke Shaw,England,30,Manchester United,"CB, LB",159.0,Premier Division
Matthijs de Ligt,Netherlands,26,Manchester United,CB,159.0,Premier Division
Mike Maignan,France,31,AC Milan,GK,159.0,Serie A
Iñaki Williams,Ghana,32,Athletic Bilbao,"AMF, RW, LW, ST",159.0,First Division
David Alaba,Austria,34,Free Agent,"CB, LB, CM",159.0,-
Kieran Trippier,England,35,Wolves,RB,159.0,Sky Bet Championship
Marco Asensio,Spain,30,Fenerbahçe,"AMF, RW, LW",159.0,Super League
Dayot Upamecano,France,27,Bayern Munich,CB,158.0,Bundesliga
Jamal Musiala,Germany,23,Bayern Munich,"AMF, RW, LW",158.0,Bundesliga
Alexis Mac Allister,Argentina,27,Liverpool,"CDM, AMF",158.0,Premier Division
Enzo Fernández,Argentina,25,Chelsea,"CDM, AMF",158.0,Premier Division
Viktor Gyökeres,Sweden,28,Arsenal,ST,158.0,Premier Division
Jules Koundé,France,27,Barcelona,"CB, RB",158.0,First Division
Ángel Di María,Argentina,38,Rosario Central,"AMF, RW, LW, ST",158.0,Premier Division
Nicolás Otamendi,Argentina,38,River Plate,CB,158.0,Premier Division
João Cancelo,Portugal,32,Al-Hilal,"RB, LB",158.0,Saudi Pro League
Milan kriniar,Slovakia,31,Fenerbahçe,CB,158.0,Super League
Theo Hernández,France,28,Al-Hilal,"LB, LM",158.0,Saudi Pro League
Emiliano Martínez,Argentina,33,Aston Villa,GK,157.0,Premier Division
Sandro Tonali,Italy,26,Tottenham,CDM,157.0,Premier Division
Andrew Robertson,Scotland,32,Tottenham,LB,157.0,Premier Division
Federico Dimarco,Italy,28,Inter,"CB, LB, LM",157.0,Serie A
Marcus Thuram,France,28,Inter,"LW, ST",157.0,Serie A
Aurélien Tchouameni,France,26,Real Madrid,CDM,157.0,First Division
Koke,Spain,34,Atletico Madrid,"CDM, CM, RM, LM",157.0,First Division
José Gayà,Spain,31,Valencia,"LB, LW",157.0,First Division
Yves Bissouma,Mali,29,Free Agent,CDM,157.0,-
Romelu Lukaku,Belgium,33,Fenerbahçe,ST,157.0,Super League
Casemiro,Brazil,34,Inter Miami,CDM,157.0,MLS
Leon Goretzka,Germany,31,Free Agent,"CDM, AMF",157.0,-
Alphonso Davies,Canada,25,Bayern Munich,"LB, LW",156.0,Bundesliga
Serge Gnabry,Germany,30,Bayern Munich,"RW, LW, ST",156.0,Bundesliga
Gregor Kobel,Switzerland,28,Borussia Dortmund,GK,156.0,Bundesliga
Rodrigo Bentancur,Uruguay,29,Tottenham,CDM,156.0,Premier Division
Gabriel,Brazil,28,Arsenal,CB,156.0,Premier Division
Mason Mount,England,27,Manchester United,"AMF, RW, LW",156.0,Premier Division
Sven Botman,Netherlands,26,Newcastle United,"CB, LB",156.0,Premier Division
Federico Chiesa,Italy,28,Liverpool,"RW, LW, ST",156.0,Premier Division
Pau Torres,Spain,29,Aston Villa,CB,156.0,Premier Division
Moisés Caicedo,Ecuador,24,Chelsea,CDM,156.0,Premier Division
Alexander Isak,Sweden,26,Liverpool,ST,156.0,Premier Division
Henrikh Mkhitaryan,Armenia,37,Inter,"CDM, AMF",156.0,Serie A
Adrien Rabiot,France,31,AC Milan,"CDM, CM, LM",156.0,Serie A
Benjamin Pavard,France,30,Inter,"CB, RB",156.0,Serie A
Wojciech Szczesny,Poland,36,Barcelona,GK,156.0,First Division
Ibrahima Konaté,France,27,Real Madrid,CB,156.0,First Division
Ferland Mendy,France,31,Real Madrid,LB,156.0,First Division
Olivier Giroud,France,39,Lille,ST,156.0,Ligue 1 Uber Eats
Vitinha,Portugal,26,PSG,CDM,156.0,Ligue 1 Uber Eats
Thiago Silva,Brazil,41,Fluminense,CB,156.0,First Division
Nathan Aké,Netherlands,31,Fenerbahçe,"CB, LB, CDM",156.0,Super League
Duan Vlahovic,Serbia,26,Beşiktaş,ST,156.0,Super League
Yann Sommer,Switzerland,37,Club Brugge,GK,156.0,Jupiler Pro League
Darwin Núñez,Uruguay,27,Al-Hilal,"LW, ST",156.0,Saudi Pro League
João Palhinha,Portugal,31,Bayern Munich,CDM,155.0,Bundesliga
Lisandro Martínez,Argentina,28,Manchester United,"CB, LB",155.0,Premier Division
Benjamin White,England,28,Arsenal,"CB, RB",155.0,Premier Division
Guglielmo Vicario,Italy,29,Tottenham,GK,155.0,Premier Division
Paulo Dybala,Argentina,32,AS Roma,"AMF, RW, ST",155.0,Serie A
Bremer,Brazil,29,Juventus,CB,155.0,Serie A
Randal Kolo Muani,France,27,Juventus,"RW, LW, ST",155.0,Serie A
Pervis Estupiñán,Ecuador,28,AC Milan,"LB, LM",155.0,Serie A
Guido Rodríguez,Argentina,32,Valencia,CDM,155.0,First Division
Dani Olmo,Spain,28,Barcelona,"AMF, RW, LW",155.0,First Division
Sergio Canales,Spain,35,Racing Santander,AMF,155.0,First Division
Ben Chilwell,England,29,Strasbourg,LB,155.0,Ligue 1 Uber Eats
Franck Kessié,Ivory Coast,29,Free Agent,CDM,155.0,-
Yannick Carrasco,Belgium,32,Al-Shabab,"LB, RW, LW",155.0,Saudi Pro League
Marcelo Brozovic,Croatia,33,Free Agent,CDM,155.0,-
