Name,Original Current Ability
Kevin De Bruyne,190.0
Erling Haaland,188.0
Kylian Mbappé,188.0
Lionel Messi,185.0
Harry Kane,184.0
Vinícius Júnior,184.0
Thibaut Courtois,181.0
Mohamed Salah,181.0
Rodri,180.0
Ederson,149.0
Virgil van Dijk,178.0
Bernardo Silva,178.0
Robert Lewandowski,178.0
Jude Bellingham,177.0
Alisson,176.0
Declan Rice,176.0
Neymar,175.0
Marc-André ter Stegen,175.0
Joshua Kimmich,174.0
Bukayo Saka,174.0
Martin Ødegaard,173.0
Rúben Dias,173.0
Lautaro Martínez,173.0
Antoine Griezmann,172.0
Bruno Fernandes,171.0
Luka Modric,171.0
Jan Oblak,171.0
Ronald Araujo,170.0
Eduardo Camavinga,170.0
Heung-Min Son,170.0
Phil Foden,169.0
Victor Osimhen,169.0
Leroy Sané,169.0
Rodrygo,168.0
Federico Valverde,168.0
Ousmane Dembélé,167.0
Ilkay Gündogan,167.0
John Stones,166.0
Éder Militão,166.0
Antonio Rüdiger,166.0
Gabriel Jesus,165.0
Bruno Guimarães,165.0
Frenkie de Jong,165.0
Karim Benzema,165.0
Jack Grealish,164.0
William Saliba,164.0
Kyle Walker,164.0
Rafael Leão,163.0
Marquinhos,163.0
Manuel Neuer,162.0
Luis Díaz,162.0
Kim Min-Jae,162.0
Cristian Romero,162.0
Christopher Nkunku,162.0
Trent Alexander-Arnold,162.0
Pedri,162.0
Khvicha Kvaratskhelia,162.0
Kingsley Coman,162.0
Reece James,161.0
Gianluigi Donnarumma,161.0
Nicolò Barella,161.0
Lucas Hernández,161.0
Achraf Hakimi,161.0
Raheem Sterling,161.0
Gabriel Martinelli,160.0
Marcus Rashford,160.0
Dejan Kulusevski,160.0
Hakan Çalhanoglu,160.0
Cristiano Ronaldo,160.0
Marco Verratti,160.0
Sergej Milinkovic-Savic,160.0
N'Golo Kanté,160.0
James Maddison,159.0
Luke Shaw,159.0
Matthijs de Ligt,159.0
Mike Maignan,159.0
Iñaki Williams,159.0
David Alaba,159.0
Kieran Trippier,159.0
Marco Asensio,159.0
Dayot Upamecano,158.0
Jamal Musiala,158.0
Alexis Mac Allister,158.0
Enzo Fernández,158.0
Viktor Gyökeres,158.0
Jules Koundé,158.0
Ángel Di María,158.0
Nicolás Otamendi,158.0
João Cancelo,158.0
Milan Škriniar,158.0
Theo Hernández,158.0
Emiliano Martínez,157.0
Sandro Tonali,157.0
Andrew Robertson,157.0
Federico Dimarco,157.0
Marcus Thuram,157.0
Aurélien Tchouameni,157.0
Koke,157.0
José Gayà,157.0
Yves Bissouma,157.0
Romelu Lukaku,157.0
Casemiro,157.0
Leon Goretzka,157.0
Alphonso Davies,156.0
Serge Gnabry,156.0
Gregor Kobel,156.0
Rodrigo Bentancur,156.0
Gabriel,156.0
Mason Mount,156.0
Sven Botman,156.0
Federico Chiesa,156.0
Pau Torres,156.0
Moisés Caicedo,156.0
Alexander Isak,156.0
Henrikh Mkhitaryan,156.0
Adrien Rabiot,156.0
Benjamin Pavard,156.0
Wojciech Szczesny,156.0
Ibrahima Konaté,156.0
Ferland Mendy,156.0
Olivier Giroud,156.0
Vitinha,156.0
Thiago Silva,156.0
Nathan Aké,156.0
Dušan Vlahovic,156.0
Yann Sommer,156.0
Darwin Núñez,156.0
João Palhinha,155.0
Lisandro Martínez,155.0
Benjamin White,155.0
Guglielmo Vicario,155.0
Paulo Dybala,155.0
Bremer,155.0
Randal Kolo Muani,155.0
Pervis Estupiñán,155.0
Guido Rodríguez,155.0
Dani Olmo,155.0
Sergio Canales,155.0
Ben Chilwell,155.0
Franck Kessié,155.0
Yannick Carrasco,155.0
Marcelo Brozovic,155.0
Jarrod Bowen,155.0
Mats Hummels,155.0
Thomas Müller,155.0
Rafa,155.0
Mauro Icardi,155.0
Dani Carvajal,155.0
