Name,Nation,Age,Club,Position,League
Frenkie de Jong,Netherlands,29,Barcelona,CDM,First Division
Yangel Herrera,Venezuela,28,Real Sociedad,CDM,First Division
Brennan Johnson,Wales,25,Everton,"AMF, RW, LW, ST",Premier Division
Piotr Zielinski,Poland,32,Inter,AMF,Serie A
Edin Deko,Bosnia & Herzegovina,40,Schalke 04,ST,Bundesliga
Marc Guéhi,England,25,Manchester City,CB,Premier Division
Jan Paul van Hecke,Netherlands,26,Tottenham,CB,Premier Division
David Alaba,Austria,34,Free Agent,"CB, LB, CM",-
Weston McKennie,U.S.A.,27,Juventus,"RB, CM, RM",Serie A
Davide Zappacosta,Italy,34,Atalanta,"RB, LB, RM",Serie A
Ibrahima Konaté,France,27,Real Madrid,CB,First Division
Marcelo Brozovic,Croatia,33,Free Agent,CDM,-
Arkadiusz Milik,Poland,32,Juventus,ST,Serie A
Tino Livramento,England,23,Newcastle United,"RB, LB",Premier Division
Edon Zhegrova,Kosovo,27,Juventus,"AMF, RW, LW",Serie A
Riccardo Orsolini,Italy,29,Bologna,RW,Serie A
Reiss Nelson,England,26,Arsenal,"RW, LW",Premier Division
Mateo Kovacic,Croatia,32,Manchester City,CDM,Premier Division
Mike Maignan,France,31,AC Milan,GK,Serie A
Aymeric Laporte,Spain,32,Athletic Bilbao,CB,First Division
Juan Foyth,Argentina,28,Villarreal,"CB, RB, CDM",First Division
Declan Rice,England,27,Arsenal,"CB, CDM",Premier Division
Tijjani Reijnders,Netherlands,27,Manchester City,"CDM, AMF",Premier Division
Stanislav Lobotka,Slovakia,31,Napoli,CDM,Serie A
Álvaro Morata,Spain,33,Como,ST,Serie A
Lucas Ocampos,Argentina,32,Monterrey,"RW, LW, ST",First Division
Sergej Milinkovic-Savic,Serbia,31,Al-Hilal,AMF,Saudi Pro League
Marc Roca,Spain,29,Real Betis,CDM,First Division
Henrikh Mkhitaryan,Armenia,37,Inter,"CDM, AMF",Serie A
Yves Bissouma,Mali,29,Free Agent,CDM,-
Breel Embolo,Switzerland,29,Rennes,"AMF, RW, ST",Ligue 1 Uber Eats
Keylor Navas,Costa Rica,39,Pumas,GK,First Division
Fredrik Aursnes,Norway,30,Benfica,CDM,Premier League
Umar Sadiq,Nigeria,29,Valencia,ST,First Division
Nuno Mendes,Portugal,24,PSG,LB,Ligue 1 Uber Eats
Ruben Loftus-Cheek,England,30,AC Milan,"CDM, AMF",Serie A
Darwin Núñez,Uruguay,27,Al-Hilal,"LW, ST",Saudi Pro League
Federico Chiesa,Italy,28,Liverpool,"RW, LW, ST",Premier Division
Loïs Openda,Belgium,26,Lyon,ST,Ligue 1 Uber Eats
Donyell Malen,Netherlands,27,AS Roma,"RW, LW, ST",Serie A
Cristian Romero,Argentina,28,Tottenham,CB,Premier Division
Richarlison,Brazil,29,Tottenham,"RW, LW, ST",Premier Division
Randal Kolo Muani,France,27,Juventus,"RW, LW, ST",Serie A
Florentino Luís,Portugal,26,Ipswich Town,CDM,Premier Division
Nikola Vlaic,Croatia,28,Torino,"AMF, RW, LW",Serie A
Matías Vecino,Uruguay,34,Celta Vigo,CDM,First Division
Diogo Costa,Portugal,26,FC Porto,GK,Premier League
Kenny Tete,Netherlands,30,Fulham,RB,Premier Division
Mario Paalic,Croatia,31,Atalanta,AMF,Serie A
Walter Benítez,Argentina,33,Crystal Palace,GK,Premier Division
Robert Lewandowski,Poland,37,Chicago,ST,MLS
Christian Pulisic,U.S.A.,27,AC Milan,"AMF, RW, LW",Serie A
Nordi Mukiele,France,28,Sunderland,"CB, RB",Premier Division
William Saliba,France,25,Arsenal,CB,Premier Division
Raheem Sterling,England,31,Free Agent,"RW, LW",-
Gavi,Spain,21,Barcelona,"AMF, LW",First Division
Noa Lang,Netherlands,27,Napoli,"RW, LW",Serie A
James Ward-Prowse,England,31,West Ham United,"CDM, AMF",Sky Bet Championship
Justin Kluivert,Netherlands,27,Bournemouth,"AMF, RW, LW",Premier Division
Andrew Robertson,Scotland,32,Tottenham,LB,Premier Division
Javi Galán,Spain,31,Celta Vigo,LB,First Division
Hidemasa Morita,Japan,31,Hull City,CDM,Premier Division
Theo Hernández,France,28,Al-Hilal,"LB, LM",Saudi Pro League
Thiago Silva,Brazil,41,Fluminense,CB,First Division
Domenico Berardi,Italy,31,Sassuolo,RW,Serie A
Emile Smith Rowe,England,25,Fulham,"AMF, RW, LW",Premier Division
Artem Dovbyk,Ukraine,29,Bologna,ST,Serie A
Oleksandr Zinchenko,Ukraine,29,Free Agent,"LB, CDM",-
Jordan Pickford,England,32,Everton,GK,Premier Division
Philipp Lienhart,Austria,30,SC Freiburg,CB,Bundesliga
Ross Barkley,England,32,Aston Villa,"CDM, AMF",Premier Division
Andrea Colpani,Italy,27,Monza,AMF,Serie A
Ramy Bensebaïni,Algeria,31,Borussia Dortmund,"CB, LB",Bundesliga
Patric,Spain,33,Lazio,CB,Serie A
Valentin Rongier,France,31,Rennes,CDM,Ligue 1 Uber Eats
António Silva,Portugal,22,Bournemouth,CB,Premier Division
Bukayo Saka,England,24,Arsenal,"RW, LW",Premier Division
Alexander Isak,Sweden,26,Liverpool,ST,Premier Division
David Raya,Spain,30,Arsenal,GK,Premier Division
Julian Brandt,Germany,30,Ajax,"AMF, RW, LW",Eredivisie
Jurriën Timber,Netherlands,25,Arsenal,"CB, RB, LB",Premier Division
Federico Gatti,Italy,28,Juventus,CB,Serie A
Nicolò Rovella,Italy,24,Lazio,CDM,Serie A
Kang-In Lee,South Korea,25,Atletico Madrid,"AMF, RW, LW",First Division
Lorenzo Pellegrini,Italy,30,AS Roma,"CDM, AMF",Serie A
Ousmane Dembélé,France,29,PSG,"RW, LW",Ligue 1 Uber Eats
Vitinha,Portugal,26,PSG,CDM,Ligue 1 Uber Eats
Álex Grimaldo,Spain,30,Atletico Madrid,"LB, LM",First Division
Ayoze Pérez,Spain,32,Villarreal,"AMF, RW, LW, ST",First Division
Paulo Dybala,Argentina,32,AS Roma,"AMF, RW, ST",Serie A
Kurt Zouma,France,31,Free Agent,"CB, RB",-
Florian Wirtz,Germany,23,Liverpool,"AMF, RW, LW",Premier Division
David Soria,Spain,33,Getafe,GK,First Division
Giorgio Scalvini,Italy,22,Atalanta,CB,Serie A
Vincenzo Grifo,Italy,33,SC Freiburg,"AMF, LW",Bundesliga
Álex Baena,Spain,24,Atletico Madrid,"AMF, RW, LW",First Division
Kingsley Coman,France,30,Al-Nassr,"RW, LW",Saudi Pro League
Moussa Diaby,France,27,Al-Ittihad,"AMF, RW, LW, ST",Saudi Pro League
Dávid Hancko,Slovakia,28,Atletico Madrid,"CB, LB",First Division
Bernd Leno,Germany,34,Fulham,GK,Premier Division
Enzo Fernández,Argentina,25,Chelsea,"CDM, AMF",Premier Division
Nayef Aguerd,Morocco,30,Marseille,CB,Ligue 1 Uber Eats
Marcel Sabitzer,Austria,32,Borussia Dortmund,"CDM, AMF",Bundesliga
Nico Williams,Spain,24,Athletic Bilbao,"RW, LW",First Division
Leandro Trossard,Belgium,31,Beşiktaş,"AMF, RW, LW, ST",Super League
Danilo Pereira,Portugal,34,Al-Ittihad,"CB, CDM",Saudi Pro League
Allan Saint-Maximin,France,29,Charlotte FC,"RW, LW, ST",MLS
Pablo Sarabia,Spain,34,Al-Arabi,"AMF, RW, LW",Stars League
Joelinton,Brazil,29,Newcastle United,"AMF, LW",Premier Division
Yann Sommer,Switzerland,37,Club Brugge,GK,Jupiler Pro League
Ederson,Brazil,32,Fenerbahçe,GK,Serie A
Kevin Kampl,Slovenia,35,RB Leipzig,CDM,Bundesliga
Mason Mount,England,27,Manchester United,"AMF, RW, LW",Premier Division
Olivier Giroud,France,39,Lille,ST,Ligue 1 Uber Eats
