Name,Nation
Kevin De Bruyne,Belgium
Erling Haaland,Norway
Kylian Mbappé,France
Lionel Messi,Argentina
Harry Kane,England
Vinícius Júnior,Brazil
Thibaut Courtois,Belgium
Mohamed Salah,Egypt
Rodri,Spain
Ederson,Brazil
Virgil van Dijk,Netherlands
Bernardo Silva,Portugal
Robert Lewandowski,Poland
Jude Bellingham,England
Alisson,Brazil
Declan Rice,England
Neymar,Brazil
Marc-André ter Stegen,Germany
Joshua Kimmich,Germany
Bukayo Saka,England
Martin Ødegaard,Norway
Rúben Dias,Portugal
Lautaro Martínez,Argentina
Antoine Griezmann,France
Bruno Fernandes,Portugal
Luka Modric,Croatia
Jan Oblak,Slovenia
Ronald Araujo,Uruguay
Eduardo Camavinga,France
Heung-Min Son,South Korea
Phil Foden,England
Victor Osimhen,Nigeria
Leroy Sané,Germany
Rodrygo,Brazil
Federico Valverde,Uruguay
Ousmane Dembélé,France
Ilkay Gündogan,Germany
John Stones,England
Éder Militão,Brazil
Antonio Rüdiger,Germany
Gabriel Jesus,Brazil
Bruno Guimarães,Brazil
Frenkie de Jong,Netherlands
Karim Benzema,France
Jack Grealish,England
William Saliba,France
Kyle Walker,England
Rafael Leão,Portugal
Marquinhos,Brazil
Manuel Neuer,Germany
Luis Díaz,Colombia
Kim Min-Jae,South Korea
Cristian Romero,Argentina
Christopher Nkunku,France
Trent Alexander-Arnold,England
Pedri,Spain
Khvicha Kvaratskhelia,Georgia
Kingsley Coman,France
Reece James,England
Gianluigi Donnarumma,Italy
Nicolò Barella,Italy
Lucas Hernández,France
Achraf Hakimi,Morocco
Raheem Sterling,England
Gabriel Martinelli,Brazil
Marcus Rashford,England
Dejan Kulusevski,Sweden
Hakan Çalhanoglu,Türkiye
Cristiano Ronaldo,Portugal
Marco Verratti,Italy
Sergej Milinkovic-Savic,Serbia
N'Golo Kanté,France
James Maddison,England
Luke Shaw,England
Matthijs de Ligt,Netherlands
Mike Maignan,France
Iñaki Williams,Ghana
David Alaba,Austria
Kieran Trippier,England
Marco Asensio,Spain
Dayot Upamecano,France
Jamal Musiala,Germany
Alexis Mac Allister,Argentina
Enzo Fernández,Argentina
Viktor Gyökeres,Sweden
Jules Koundé,France
Ángel Di María,Argentina
Nicolás Otamendi,Argentina
João Cancelo,Portugal
Milan Škriniar,Slovakia
Theo Hernández,France
Emiliano Martínez,Argentina
Sandro Tonali,Italy
Andrew Robertson,Scotland
Federico Dimarco,Italy
Marcus Thuram,France
Aurélien Tchouameni,France
Koke,Spain
José Gayà,Spain
Yves Bissouma,Mali
Romelu Lukaku,Belgium
Casemiro,Brazil
Leon Goretzka,Germany
Alphonso Davies,Canada
Serge Gnabry,Germany
Gregor Kobel,Switzerland
Rodrigo Bentancur,Uruguay
Gabriel,Brazil
Mason Mount,England
Sven Botman,Netherlands
Federico Chiesa,Italy
Pau Torres,Spain
Moisés Caicedo,Ecuador
Alexander Isak,Sweden
