Kevin De Bruyne,Belgium,AMF
Erling Haaland,Norway,ST
Kylian Mbappé,France,ST
Lionel Messi,Argentina,RW
Harry Kane,England,ST
Vinícius Júnior,Brazil,LW
Thibaut Courtois,Belgium,GK
Mohamed Salah,Egypt,RW
Rodri,Spain,CDM
Ederson,Brazil,GK
Virgil van Dijk,Netherlands,CB
Bernardo Silva,Portugal,RW
Robert Lewandowski,Poland,ST
Jude Bellingham,England,AMF
Alisson,Brazil,GK
Declan Rice,England,CM
Neymar,Brazil,LW
Marc-André ter Stegen,Germany,GK
Joshua Kimmich,Germany,CDM
Bukayo Saka,England,RW
Martin Ødegaard,Norway,AMF
Rúben Dias,Portugal,CB
Lautaro Martínez,Argentina,ST
Antoine Griezmann,France,ST
Bruno Fernandes,Portugal,AMF
Luka Modric,Croatia,CM
Jan Oblak,Slovenia,GK
Ronald Araujo,Uruguay,CB
Eduardo Camavinga,France,CM
Heung-Min Son,South Korea,LW
Phil Foden,England,RW
Victor Osimhen,Nigeria,ST
Leroy Sané,Germany,RW
Rodrygo,Brazil,RW
Federico Valverde,Uruguay,CM
Ousmane Dembélé,France,RW
Ilkay Gündogan,Germany,CM
John Stones,England,CB
Éder Militão,Brazil,CB
Antonio Rüdiger,Germany,CB
Gabriel Jesus,Brazil,ST
Bruno Guimarães,Brazil,CM
Frenkie de Jong,Netherlands,CM
Karim Benzema,France,ST
Jack Grealish,England,LW
William Saliba,France,CB
Kyle Walker,England,RB
Rafael Leão,Portugal,LW
Marquinhos,Brazil,CB
Manuel Neuer,Germany,GK
Luis Díaz,Colombia,LW
Kim Min-Jae,South Korea,CB
Cristian Romero,Argentina,CB
Christopher Nkunku,France,ST
Trent Alexander-Arnold,England,RB
Pedri,Spain,CM
Khvicha Kvaratskhelia,Georgia,LW
Kingsley Coman,France,LW
Reece James,England,RB
Gianluigi Donnarumma,Italy,GK
Nicolò Barella,Italy,CM
Lucas Hernández,France,CB
Achraf Hakimi,Morocco,RB
Raheem Sterling,England,LW
Gabriel Martinelli,Brazil,LW
Marcus Rashford,England,LW
Dejan Kulusevski,Sweden,RW
Hakan Çalhanoglu,Türkiye,CDM
Cristiano Ronaldo,Portugal,ST
Marco Verratti,Italy,CM
Sergej Milinkovic-Savic,Serbia,CM
N'Golo Kanté,France,CDM
James Maddison,England,AMF
Luke Shaw,England,LB
Matthijs de Ligt,Netherlands,CB
Mike Maignan,France,GK
Iñaki Williams,Ghana,RW
David Alaba,Austria,CB
Kieran Trippier,England,RB
Marco Asensio,Spain,RW
Dayot Upamecano,France,CB
Jamal Musiala,Germany,AMF
Alexis Mac Allister,Argentina,CM
Enzo Fernández,Argentina,CM
Viktor Gyökeres,Sweden,ST
Jules Koundé,France,RB
Ángel Di María,Argentina,RW
Nicolás Otamendi,Argentina,CB
João Cancelo,Portugal,RB
Milan Škriniar,Slovakia,CB
Theo Hernández,France,LB
Emiliano Martínez,Argentina,GK
Sandro Tonali,Italy,CM
Andrew Robertson,Scotland,LB
Federico Dimarco,Italy,LB
Marcus Thuram,France,ST
Aurélien Tchouameni,France,CDM
Koke,Spain,CM
José Gayà,Spain,LB
Yves Bissouma,Mali,CDM
Romelu Lukaku,Belgium,ST
Casemiro,Brazil,CDM
Leon Goretzka,Germany,CM
Alphonso Davies,Canada,LB
Serge Gnabry,Germany,RW
Gregor Kobel,Switzerland,GK
Rodrigo Bentancur,Uruguay,CM
Gabriel,Brazil,CB
Mason Mount,England,AMF
Sven Botman,Netherlands,CB
Federico Chiesa,Italy,LW
Pau Torres,Spain,CB
Moisés Caicedo,Ecuador,CDM
Alexander Isak,Sweden,ST
Henrikh Mkhitaryan,Armenia,CM
Adrien Rabiot,France,CM
Benjamin Pavard,France,CB
Wojciech Szczesny,Poland,GK
Ibrahima Konaté,France,CB
Ferland Mendy,France,LB
Olivier Giroud,France,ST
Vitinha,Portugal,CM
Thiago Silva,Brazil,CB
Nathan Aké,Netherlands,CB
Dušan Vlahovic,Serbia,ST
Yann Sommer,Switzerland,GK
Darwin Núñez,Uruguay,ST
João Palhinha,Portugal,CDM
Lisandro Martínez,Argentina,CB
Benjamin White,England,RB
Guglielmo Vicario,Italy,GK
Paulo Dybala,Argentina,AMF
Bremer,Brazil,CB
Randal Kolo Muani,France,ST
Pervis Estupiñán,Ecuador,LB
Guido Rodríguez,Argentina,CDM
Dani Olmo,Spain,AMF
Sergio Canales,Spain,AMF
Ben Chilwell,England,LB
Franck Kessié,Ivory Coast,CM
Yannick Carrasco,Belgium,LW
Marcelo Brozovic,Croatia,CDM
Jarrod Bowen,England,RW
Mats Hummels,Germany,CB
Thomas Müller,Germany,AMF
Rafa,Portugal,AMF
Mauro Icardi,Argentina,ST
Dani Carvajal,Spain,RB
Thomas Partey,Ghana,CDM
Oleksandr Zinchenko,Ukraine,LB
Diogo Costa,Portugal,GK
Riyad Mahrez,Algeria,RW
Dominik Szoboszlai,Hungary,CM
Lewis Dunk,England,CB
Pedro Porro,Spain,RB
Giovanni Di Lorenzo,Italy,RB
Alessandro Bastoni,Italy,CB
Manuel Akanji,Switzerland,CB
Raphinha,Brazil,RW
Andreas Christensen,Denmark,CB
Gerard Moreno,Spain,ST
Álex Grimaldo,Spain,LB
Gavi,Spain,CM
Yan Diomandé,Ivory Coast,CB
Lucas Ocampos,Argentina,RW
Leandro Trossard,Belgium,LW
Danilo Pereira,Portugal,CB
Sebastián Coates,Uruguay,CB
Julian Brandt,Germany,AMF
Jérémy Doku,Belgium,LW
Joelinton,Brazil,CM
Cody Gakpo,Netherlands,LW
John McGinn,Scotland,CM
Mikel Merino,Spain,CM
Teun Koopmeiners,Netherlands,AMF
André-Franck Zambo Anguissa,Cameroon,CM
Álvaro Morata,Spain,ST
Christian Pulisic,U.S.A.,RW
Julián Álvarez,Argentina,ST
Iago Aspas,Spain,ST
Unai Simón,Spain,GK
Mikel Oyarzábal,Spain,LW
Ansu Fati,Spain,LW
Rodrigo De Paul,Argentina,CM
Moussa Diaby,France,RW
Ricardo Horta,Portugal,LW
Luis Alberto,Spain,CM
João Félix,Portugal,ST
Serhou Guirassy,Guinea,ST
Mateo Kovacic,Croatia,CM
David Raya,Spain,GK
Manuel Ugarte,Uruguay,CDM
Kai Havertz,Germany,ST
Florian Wirtz,Germany,AMF
Granit Xhaka,Switzerland,CM
Nicolás González,Argentina,RW
Fikayo Tomori,England,CB
Piotr Zielinski,Poland,CM
Ivan Provedel,Italy,GK
Alex Meret,Italy,GK
Marcos Llorente,Spain,RB
Nuno Mendes,Portugal,LB
Francesco Acerbi,Italy,CB
Ismaël Bennacer,Algeria,CM
Kieran Tierney,Scotland,LB
Pablo Sarabia,Spain,RW
Callum Wilson,England,ST
Marc Guéhi,England,CB
Joe Gomez,England,CB
Wesley Fofana,France,CB
Yan Couto,Brazil,RB
Bryan Cristante,Italy,CM
Domenico Berardi,Italy,RW
Mattia Zaccagni,Italy,LW
Stanislav Lobotka,Slovakia,CDM
Denzel Dumfries,Netherlands,RB
Alejandro Balde,Spain,LB
Fabián,Spain,CM
Sergio Ramos,Spain,CB
Keylor Navas,Costa Rica,GK
Danilo,Brazil,CB
Edson Álvarez,Mexico,CDM
Fredrik Aursnes,Norway,CM
Álex Moreno,Spain,LB
Youssef En-Nesyri,Morocco,ST
Michael Olise,France,RW
Miguel Gutiérrez,Spain,LB
Jonas Hofmann,Germany,RW
Mohammed Kudus,Ghana,RW
Joško Gvardiol,Croatia,CB
Jordan Pickford,England,GK
Dominic Calvert-Lewin,England,ST
Kostas Tsimikas,Greece,LB
Tijjani Reijnders,Netherlands,CM
Takehiro Tomiyasu,Japan,RB
Martín Zubimendi,Spain,CDM
Ruben Loftus-Cheek,England,CM
Matteo Politano,Italy,RW
Artem Dovbyk,Ukraine,ST
Gonçalo Ramos,Portugal,ST
Brahim Díaz,Morocco,AMF
Ademola Lookman,Nigeria,LW
Isco,Spain,AMF
Álex Remiro,Spain,GK
Aymeric Laporte,Spain,CB
Ferran Torres,Spain,LW
Ciro Immobile,Italy,ST
Héctor Herrera,Mexico,CM
Yassine Bounou,Morocco,GK
Fred,Brazil,CM
Fabinho,Brazil,CDM
Otávio,Portugal,RW
Talisca,Brazil,AMF
Lucas Paquetá,Brazil,AMF
Pepê,Brazil,RW
James Ward-Prowse,England,CM
Ivan Toney,England,ST
Pedro Gonçalves,Portugal,AMF
Memphis Depay,Netherlands,ST
Lucas Torreira,Uruguay,CDM
Rúben Neves,Portugal,CDM
Aleksandar Mitrovic,Serbia,ST
Dani Ceballos,Spain,CM
Mateus Uribe,Colombia,CM
Luis Suárez,Uruguay,ST
Kalidou Koulibaly,Senegal,CB
Kurt Zouma,France,CB
Sadio Mané,Senegal,LW
Édouard Mendy,Senegal,GK
Allan Saint-Maximin,France,LW
Presnel Kimpembe,France,CB
Konrad Laimer,Austria,RB
Willi Orbán,Hungary,CB
Jonathan Tah,Germany,CB
Conor Gallagher,England,CM
Curtis Jones,England,CM
Noussair Mazraoui,Morocco,RB
Kaoru Mitoma,Japan,LW
Matheus Nunes,Portugal,CM
Pascal Groß,Germany,CM
Nahuel Molina,Argentina,RB
David Neres,Brazil,RW
Douglas Luiz,Brazil,CM
Ederson,Brazil,CM
Manuel Locatelli,Italy,CDM
Davide Frattesi,Italy,CM
Takefusa Kubo,Japan,RW
Robin Le Normand,Spain,CB
Nico Williams,Spain,LW
José Giménez,Uruguay,CB
Alexandr Golovin,Russia,AMF
Edmond Tapsoba,Burkina Faso,CB
Exequiel Palacios,Argentina,CM
Marcel Sabitzer,Austria,CM
Pape Matar Sarr,Senegal,CM
Eddie Nketiah,England,ST
Emile Smith Rowe,England,AMF
Ebere Eze,England,AMF
Jurriën Timber,Netherlands,RB
Axel Disasi,France,CB
Giorgi Mamardashvili,Georgia,GK
