Name,Ability,Times Acquired,Acquisition Rate,Avg Price,Ability Per Price,Win Rate
Kevin De Bruyne,190.0,9463,0.0946,48826482.09,3.89e-06,0.5732
Erling Haaland,188.0,7467,0.0747,49999732.15,3.76e-06,0.5581
Kylian Mbappé,188.0,11216,0.1122,47316066.33,3.97e-06,0.5484
Harry Kane,184.0,8645,0.0865,50365991.9,3.65e-06,0.5219
Lionel Messi,185.0,10953,0.1095,47849265.04,3.87e-06,0.5189
Vinícius Júnior,184.0,11073,0.1107,47684006.14,3.86e-06,0.5119
Rodri,180.0,9552,0.0955,48592650.75,3.7e-06,0.4809
Thibaut Courtois,181.0,12969,0.1297,38538283.6,4.7e-06,0.4757
Mohamed Salah,181.0,11102,0.111,47037020.36,3.85e-06,0.4729
Virgil van Dijk,178.0,8219,0.0822,49397493.61,3.6e-06,0.4557
Robert Lewandowski,178.0,7500,0.075,49227600.0,3.62e-06,0.4507
Jude Bellingham,177.0,6385,0.0639,53357870.01,3.32e-06,0.45
Bernardo Silva,178.0,9032,0.0903,49311669.62,3.61e-06,0.4388
Declan Rice,176.0,9528,0.0953,48864504.62,3.6e-06,0.436
Joshua Kimmich,174.0,13328,0.1333,42001200.48,4.14e-06,0.4277
Alisson,176.0,12459,0.1246,37942290.71,4.64e-06,0.4242
Neymar,175.0,9475,0.0948,48984591.03,3.57e-06,0.4109
Marc-André ter Stegen,175.0,12813,0.1281,38746585.5,4.52e-06,0.4098
Eduardo Camavinga,170.0,10404,0.104,45923779.32,3.7e-06,0.3998
Rúben Dias,173.0,8234,0.0823,48899198.45,3.54e-06,0.3962
Bukayo Saka,174.0,9201,0.092,50095533.09,3.47e-06,0.3954
Martin Ødegaard,173.0,4015,0.0402,55775342.47,3.1e-06,0.3905
Lautaro Martínez,173.0,7584,0.0758,49749208.86,3.48e-06,0.382
Luka Modric,171.0,3928,0.0393,55912423.63,3.06e-06,0.3819
Ronald Araujo,170.0,14242,0.1424,42034264.85,4.04e-06,0.3742
Jan Oblak,171.0,12774,0.1277,38996555.5,4.39e-06,0.369
Antoine Griezmann,172.0,10918,0.1092,47179886.43,3.65e-06,0.3688
Bruno Fernandes,171.0,8994,0.0899,49987547.25,3.42e-06,0.3617
Heung-Min Son,170.0,9042,0.0904,48416390.18,3.51e-06,0.3548
Leroy Sané,169.0,9592,0.0959,49109049.21,3.44e-06,0.3519
Victor Osimhen,169.0,7472,0.0747,50414882.23,3.35e-06,0.3505
Ilkay Gündogan,167.0,6504,0.065,53314421.89,3.13e-06,0.3412
Phil Foden,169.0,9358,0.0936,48498183.37,3.48e-06,0.3395
Frenkie de Jong,165.0,4875,0.0488,55116923.08,2.99e-06,0.3319
Éder Militão,166.0,8428,0.0843,48648671.1,3.41e-06,0.3316
Antonio Rüdiger,166.0,8280,0.0828,49686956.52,3.34e-06,0.3314
Federico Valverde,168.0,9037,0.0904,49822286.16,3.37e-06,0.3285
John Stones,166.0,14683,0.1468,40804740.18,4.07e-06,0.3283
Rodrygo,168.0,11129,0.1113,46968011.5,3.58e-06,0.3273
Bruno Guimarães,165.0,4864,0.0486,53910773.03,3.06e-06,0.325
William Saliba,164.0,8479,0.0848,49479773.56,3.31e-06,0.3208
Karim Benzema,165.0,7444,0.0744,49841348.74,3.31e-06,0.3197
Ousmane Dembélé,167.0,9208,0.0921,48506624.67,3.44e-06,0.318
Kyle Walker,164.0,12116,0.1212,41664740.84,3.94e-06,0.3174
Marquinhos,163.0,9532,0.0953,48272450.69,3.38e-06,0.3016
Gabriel Jesus,165.0,11142,0.1114,46740800.57,3.53e-06,0.3001
Trent Alexander-Arnold,162.0,12974,0.1297,41713889.32,3.88e-06,0.2962
Kim Min-Jae,162.0,8454,0.0845,48503666.9,3.34e-06,0.2941
Jack Grealish,164.0,9512,0.0951,49606602.19,3.31e-06,0.2921
Marco Verratti,160.0,4889,0.0489,53877684.6,2.97e-06,0.2909
Lucas Hernández,161.0,11893,0.1189,44669721.69,3.6e-06,0.2906
Cristian Romero,162.0,8326,0.0833,49909800.62,3.25e-06,0.2903
Rafael Leão,163.0,9296,0.093,49578635.97,3.29e-06,0.2888
Nicolò Barella,161.0,54640,0.5464,20189000.73,7.97e-06,0.2881
Achraf Hakimi,161.0,12166,0.1217,41397501.23,3.89e-06,0.2862
N'Golo Kanté,160.0,4934,0.0493,52143696.8,3.07e-06,0.2854
Reece James,161.0,14189,0.1419,41611459.58,3.87e-06,0.2854
Theo Hernández,158.0,8901,0.089,45957757.56,3.44e-06,0.2837
Luis Díaz,162.0,9267,0.0927,49780079.85,3.25e-06,0.2809
Manuel Neuer,162.0,12829,0.1283,38193467.92,4.24e-06,0.2777
Kieran Trippier,159.0,12046,0.1205,41925203.39,3.79e-06,0.2766
Hakan Çalhanoglu,160.0,6457,0.0646,53719684.06,2.98e-06,0.2757
Christopher Nkunku,162.0,11232,0.1123,47560897.44,3.41e-06,0.2743
Kingsley Coman,162.0,9217,0.0922,50535532.17,3.21e-06,0.2738
Gianluigi Donnarumma,161.0,12750,0.1275,38884392.16,4.14e-06,0.2736
João Cancelo,158.0,14914,0.1492,40706316.21,3.88e-06,0.2734
Luke Shaw,159.0,11956,0.1196,45151221.14,3.52e-06,0.2729
Andrew Robertson,157.0,8939,0.0894,46805571.09,3.35e-06,0.2721
Sergej Milinkovic-Savic,160.0,3890,0.0389,55424164.52,2.89e-06,0.2715
Alexis Mac Allister,158.0,6530,0.0653,53193108.73,2.97e-06,0.2695
Pedri,162.0,9462,0.0946,48712745.72,3.33e-06,0.2694
Casemiro,157.0,4761,0.0476,54042007.98,2.91e-06,0.2682
Raheem Sterling,161.0,9297,0.093,50077874.58,3.21e-06,0.268
Dayot Upamecano,158.0,8380,0.0838,49205011.93,3.21e-06,0.2673
Sandro Tonali,157.0,4807,0.0481,52427501.56,2.99e-06,0.2671
Khvicha Kvaratskhelia,162.0,5394,0.0539,53496848.35,3.03e-06,0.2668
Ferland Mendy,156.0,8958,0.0896,45835231.08,3.4e-06,0.2667
David Alaba,159.0,54466,0.5447,20363419.38,7.81e-06,0.2655
Matthijs de Ligt,159.0,8126,0.0813,49430716.22,3.22e-06,0.2654
Aurélien Tchouameni,157.0,4895,0.049,51880286.01,3.03e-06,0.2652
Leon Goretzka,157.0,6366,0.0637,53588281.5,2.93e-06,0.2637
Jules Koundé,158.0,14318,0.1432,41428132.42,3.81e-06,0.2633
Enzo Fernández,158.0,6476,0.0648,52349289.68,3.02e-06,0.2631
Ben Chilwell,155.0,8796,0.088,45504888.59,3.41e-06,0.2626
Pervis Estupiñán,155.0,9134,0.0913,45346617.04,3.42e-06,0.2619
Marcus Rashford,160.0,9181,0.0918,48611044.55,3.29e-06,0.2618
Alphonso Davies,156.0,10476,0.1048,46272623.14,3.37e-06,0.2616
Nicolás Otamendi,158.0,8288,0.0829,48866312.74,3.23e-06,0.261
José Gayà,157.0,10677,0.1068,45326496.21,3.46e-06,0.2602
Dejan Kulusevski,160.0,8983,0.0898,49008126.46,3.26e-06,0.2578
Federico Dimarco,157.0,11889,0.1189,45378164.69,3.46e-06,0.2576
Milan kriniar,158.0,8412,0.0841,49037684.26,3.22e-06,0.2576
Yves Bissouma,157.0,4955,0.0496,52958829.47,2.96e-06,0.2553
Cristiano Ronaldo,160.0,7488,0.0749,50311030.98,3.18e-06,0.2552
Vitinha,156.0,4823,0.0482,54084594.65,2.88e-06,0.2538
Iñaki Williams,159.0,11435,0.1144,46821512.9,3.4e-06,0.2533
Henrikh Mkhitaryan,156.0,6327,0.0633,52486328.43,2.97e-06,0.2527
Gabriel Martinelli,160.0,10937,0.1094,47722135.87,3.35e-06,0.2517
Mike Maignan,159.0,12873,0.1287,38359201.43,4.15e-06,0.2512
Gabriel,156.0,8456,0.0846,49613528.86,3.14e-06,0.2505
James Maddison,159.0,9541,0.0954,48971701.08,3.25e-06,0.2504
Marco Asensio,159.0,9476,0.0948,48497678.35,3.28e-06,0.2486
Pau Torres,156.0,8233,0.0823,49979472.85,3.12e-06,0.2481
