Name,Ability,Times Acquired,Acquisition Rate,Avg Price,Ability Per Price
Mario Paalic,141.0,2395,0.0239,23103966.6,6.1e-06
Artem Dovbyk,150.0,4480,0.0448,23049553.57,6.51e-06
Mattia Zaccagni,151.0,3927,0.0393,22999745.35,6.57e-06
Jacob Ramsey,141.0,3993,0.0399,22977210.12,6.14e-06
Sergio Canales,155.0,2402,0.024,22948792.67,6.75e-06
Jude Bellingham,177.0,3919,0.0392,22920132.69,7.72e-06
Terem Moffi,141.0,4414,0.0441,22835523.33,6.17e-06
Daichi Kamada,140.0,2352,0.0235,22830782.31,6.13e-06
Héctor Herrera,150.0,2931,0.0293,22828727.4,6.57e-06
Marcel Sabitzer,148.0,3808,0.0381,22777573.53,6.5e-06
Scott McTominay,141.0,3800,0.038,22773421.05,6.19e-06
Vincenzo Grifo,142.0,3913,0.0391,22771275.24,6.24e-06
Kai Havertz,152.0,5139,0.0514,22768632.03,6.68e-06
Kevin De Bruyne,190.0,5735,0.0573,22758151.7,8.35e-06
Andreas Christensen,154.0,4920,0.0492,22756097.56,6.77e-06
Lewis Dunk,154.0,5072,0.0507,22755520.5,6.77e-06
Jérémie Boga,141.0,4038,0.0404,22753838.53,6.2e-06
Wesley Fofana,151.0,5145,0.0515,22748688.05,6.64e-06
Leroy Sané,169.0,5639,0.0564,22746586.27,7.43e-06
Nicolás Otamendi,158.0,5066,0.0507,22739834.19,6.95e-06
Giovani Lo Celso,140.0,4980,0.0498,22735542.17,6.16e-06
Kristoffer Ajer,140.0,5931,0.0593,22732422.86,6.16e-06
Sandro Tonali,157.0,2914,0.0291,22725806.45,6.91e-06
Cole Palmer,140.0,5701,0.057,22724434.31,6.16e-06
Alessandro Bastoni,154.0,5003,0.05,22721167.3,6.78e-06
Hakan Çalhanoglu,160.0,3905,0.0391,22718822.02,7.04e-06
Marc Roca,141.0,2897,0.029,22712806.35,6.21e-06
Casemiro,157.0,2952,0.0295,22704945.8,6.91e-06
Youssouf Fofana,143.0,2938,0.0294,22693669.16,6.3e-06
Luis Alberto,153.0,2413,0.0241,22691670.12,6.74e-06
André-Franck Zambo Anguissa,153.0,2930,0.0293,22689761.09,6.74e-06
Sergej Milinkovic-Savic,160.0,2382,0.0238,22686817.8,7.05e-06
Enzo Fernández,158.0,3923,0.0392,22667601.33,6.97e-06
Pape Matar Sarr,148.0,2866,0.0287,22667480.81,6.53e-06
Stanislav Lobotka,151.0,2973,0.0297,22663303.06,6.66e-06
Victor Lindelöf,142.0,4910,0.0491,22660692.46,6.27e-06
Nicolò Rovella,141.0,2863,0.0286,22657352.43,6.22e-06
Dani Olmo,155.0,5661,0.0566,22654478.01,6.84e-06
Christian Pulisic,153.0,5852,0.0585,22652768.28,6.75e-06
Marquinhos,163.0,5740,0.0574,22650000.0,7.2e-06
Denis Zakaria,142.0,2747,0.0275,22644703.31,6.27e-06
Tijjani Reijnders,150.0,3844,0.0384,22640478.67,6.63e-06
Gonçalo Ramos,150.0,4524,0.0452,22635720.6,6.63e-06
Marco Verratti,160.0,2913,0.0291,22635084.11,7.07e-06
Aleix García,143.0,2864,0.0286,22628840.78,6.32e-06
Mario Götze,142.0,2389,0.0239,22628296.36,6.28e-06
Carlos Soler,148.0,5525,0.0553,22623710.41,6.54e-06
Martin Ødegaard,173.0,2427,0.0243,22615986.81,7.65e-06
Emile Smith Rowe,148.0,5597,0.056,22612828.3,6.54e-06
Karim Benzema,165.0,4564,0.0456,22610429.45,7.3e-06
Hidemasa Morita,146.0,2921,0.0292,22603902.77,6.46e-06
Leandro Trossard,154.0,6810,0.0681,22602202.64,6.81e-06
Bremer,155.0,4899,0.049,22602163.71,6.86e-06
Kim Min-Jae,162.0,4973,0.0497,22597225.02,7.17e-06
Karim Adeyemi,142.0,6826,0.0683,22596835.63,6.28e-06
Kalidou Koulibaly,150.0,4965,0.0496,22587915.41,6.64e-06
Jorge Cuenca,141.0,4930,0.0493,22586612.58,6.24e-06
Jordan Henderson,145.0,2938,0.0294,22583730.43,6.42e-06
Nicolò Zaniolo,145.0,6725,0.0673,22578587.36,6.42e-06
Dejan Kulusevski,160.0,5422,0.0542,22574880.12,7.09e-06
Alexis Mac Allister,158.0,3944,0.0394,22572008.11,7e-06
Rafael Leão,163.0,5486,0.0549,22572001.46,7.22e-06
Morten Hjulmand,147.0,2980,0.0298,22571476.51,6.51e-06
Alexander Isak,156.0,4469,0.0447,22570373.69,6.91e-06
Valentin Rongier,141.0,2930,0.0293,22567235.49,6.25e-06
Bruno Guimarães,165.0,2908,0.0291,22560178.82,7.31e-06
Amir Rrahmani,148.0,4917,0.0492,22559080.74,6.56e-06
Alejandro Balde,151.0,6538,0.0654,22555827.47,6.69e-06
Federico Gatti,146.0,4962,0.0496,22555421.2,6.47e-06
Rúben Neves,150.0,2906,0.0291,22555402.62,6.65e-06
Santi Comesaña,140.0,2873,0.0287,22552732.34,6.21e-06
Gerard Moreno,154.0,6495,0.0649,22551193.23,6.83e-06
Santiago Giménez,141.0,4496,0.045,22542704.63,6.25e-06
Callum Wilson,151.0,4445,0.0445,22541732.28,6.7e-06
Virgil van Dijk,178.0,4896,0.049,22540236.93,7.9e-06
Fábio Vieira,148.0,5662,0.0566,22535323.21,6.57e-06
Piotr Zielinski,152.0,2379,0.0238,22534258.09,6.75e-06
Rafa,155.0,5732,0.0573,22531926.03,6.88e-06
