Name,Ability,Times Acquired,Acquisition Rate,Avg Price,Ability Per Price
Kevin De Bruyne,190.0,2997,0.03,198670670.67,9.6e-07
Erling Haaland,188.0,2644,0.0264,197413010.59,9.5e-07
Kylian Mbappé,188.0,3098,0.031,196916720.46,9.5e-07
Lionel Messi,185.0,3133,0.0313,193363868.5,9.6e-07
Harry Kane,184.0,2880,0.0288,192807986.11,9.5e-07
Vinícius Júnior,184.0,3143,0.0314,192447979.64,9.6e-07
Thibaut Courtois,181.0,2725,0.0272,189874495.41,9.5e-07
Mohamed Salah,181.0,3112,0.0311,189667416.45,9.5e-07
Rodri,180.0,3055,0.0306,188490343.7,9.5e-07
Virgil van Dijk,178.0,2787,0.0279,187093290.28,9.5e-07
Bernardo Silva,178.0,3101,0.031,186703966.46,9.5e-07
Robert Lewandowski,178.0,2572,0.0257,186593312.6,9.5e-07
Jude Bellingham,177.0,2668,0.0267,185863193.4,9.5e-07
Alisson,176.0,2642,0.0264,184625283.88,9.5e-07
Declan Rice,176.0,3081,0.0308,183949691.66,9.6e-07
Marc-André ter Stegen,175.0,2615,0.0261,183710516.25,9.5e-07
Neymar,175.0,3040,0.0304,183409868.42,9.5e-07
Bukayo Saka,174.0,2985,0.0299,182557453.94,9.5e-07
Martin Ødegaard,173.0,1979,0.0198,182403739.26,9.5e-07
Rúben Dias,173.0,2790,0.0279,182263440.86,9.5e-07
Joshua Kimmich,174.0,3013,0.0301,182201792.23,9.5e-07
Lautaro Martínez,173.0,2602,0.026,182044196.77,9.5e-07
Antoine Griezmann,172.0,3185,0.0319,181274725.27,9.5e-07
Luka Modric,171.0,1895,0.019,180537203.17,9.5e-07
Jan Oblak,171.0,2683,0.0268,180447633.25,9.5e-07
Bruno Fernandes,171.0,2992,0.0299,179750668.45,9.5e-07
Eduardo Camavinga,170.0,2982,0.0298,178909456.74,9.5e-07
Heung-Min Son,170.0,3004,0.03,178907456.72,9.5e-07
Ronald Araujo,170.0,3187,0.0319,178591779.1,9.5e-07
Leroy Sané,169.0,2987,0.0299,177842986.27,9.5e-07
Victor Osimhen,169.0,2641,0.0264,177782658.08,9.5e-07
Phil Foden,169.0,3230,0.0323,177604334.37,9.5e-07
Federico Valverde,168.0,2939,0.0294,177509697.18,9.5e-07
Rodrygo,168.0,3084,0.0308,176726977.95,9.5e-07
Ousmane Dembélé,167.0,3085,0.0308,176229821.72,9.5e-07
Ilkay Gündogan,167.0,2618,0.0262,176085943.47,9.5e-07
Éder Militão,166.0,2874,0.0287,175124565.07,9.5e-07
John Stones,166.0,3170,0.0317,174694321.77,9.5e-07
Antonio Rüdiger,166.0,2859,0.0286,174545995.1,9.5e-07
Bruno Guimarães,165.0,2110,0.0211,174291469.19,9.5e-07
Karim Benzema,165.0,2575,0.0257,174160776.7,9.5e-07
Frenkie de Jong,165.0,2169,0.0217,173784232.37,9.5e-07
Gabriel Jesus,165.0,3118,0.0312,173237010.9,9.5e-07
Jack Grealish,164.0,3092,0.0309,173157179.82,9.5e-07
William Saliba,164.0,2906,0.0291,172706125.26,9.5e-07
Kyle Walker,164.0,2842,0.0284,172368754.4,9.5e-07
Marquinhos,163.0,3039,0.0304,172217176.7,9.5e-07
Rafael Leão,163.0,2984,0.0298,171646112.6,9.5e-07
Khvicha Kvaratskhelia,162.0,2419,0.0242,171209177.35,9.5e-07
Cristian Romero,162.0,2839,0.0284,171017611.84,9.5e-07
Manuel Neuer,162.0,2799,0.028,171001071.81,9.5e-07
Kingsley Coman,162.0,3154,0.0315,170850031.71,9.5e-07
Christopher Nkunku,162.0,3148,0.0315,170801778.91,9.5e-07
Trent Alexander-Arnold,162.0,3091,0.0309,170796182.47,9.5e-07
Kim Min-Jae,162.0,2891,0.0289,170678312.0,9.5e-07
Luis Díaz,162.0,3025,0.0302,170585785.12,9.5e-07
Pedri,162.0,3084,0.0308,170520752.27,9.5e-07
Nicolò Barella,161.0,3201,0.032,170098719.15,9.5e-07
Marco Verratti,160.0,2159,0.0216,169973135.71,9.4e-07
Achraf Hakimi,161.0,2777,0.0278,169894130.36,9.5e-07
Gianluigi Donnarumma,161.0,2868,0.0287,169826011.16,9.5e-07
Raheem Sterling,161.0,3073,0.0307,169796290.27,9.5e-07
Reece James,161.0,3202,0.032,169603997.5,9.5e-07
Lucas Hernández,161.0,3080,0.0308,169543506.49,9.5e-07
Sergej Milinkovic-Savic,160.0,1925,0.0192,169502337.66,9.4e-07
N'Golo Kanté,160.0,2115,0.0211,169005200.95,9.5e-07
Cristiano Ronaldo,160.0,2626,0.0263,168996572.73,9.5e-07
Hakan Çalhanoglu,160.0,2573,0.0257,168876797.51,9.5e-07
Dejan Kulusevski,160.0,3101,0.031,168850048.37,9.5e-07
Gabriel Martinelli,160.0,3230,0.0323,168793808.05,9.5e-07
Marcus Rashford,160.0,3002,0.03,168762158.56,9.5e-07
Mike Maignan,159.0,2694,0.0269,168212694.88,9.5e-07
Matthijs de Ligt,159.0,2833,0.0283,167869396.4,9.5e-07
Iñaki Williams,159.0,3223,0.0322,167786224.01,9.5e-07
Marco Asensio,159.0,3093,0.0309,167730682.19,9.5e-07
David Alaba,159.0,3247,0.0325,167624884.51,9.5e-07
Luke Shaw,159.0,3058,0.0306,167620667.1,9.5e-07
James Maddison,159.0,3120,0.0312,167616987.18,9.5e-07
Kieran Trippier,159.0,2969,0.0297,167588413.61,9.5e-07
Theo Hernández,158.0,2675,0.0267,167290093.46,9.4e-07
Enzo Fernández,158.0,2605,0.0261,167211900.19,9.4e-07
Jamal Musiala,158.0,3095,0.0309,167161873.99,9.5e-07
Dayot Upamecano,158.0,2855,0.0285,167103327.5,9.5e-07
Alexis Mac Allister,158.0,2618,0.0262,167063789.15,9.5e-07
Nicolás Otamendi,158.0,2871,0.0287,166976314.87,9.5e-07
Aurélien Tchouameni,157.0,2143,0.0214,166878674.76,9.4e-07
Milan kriniar,158.0,2921,0.0292,166860664.16,9.5e-07
Ángel Di María,158.0,3107,0.0311,166834245.25,9.5e-07
Jules Koundé,158.0,3175,0.0318,166817952.76,9.5e-07
Sandro Tonali,157.0,2124,0.0212,166677024.48,9.4e-07
Casemiro,157.0,2065,0.0207,166663438.26,9.4e-07
João Cancelo,158.0,3081,0.0308,166655955.86,9.5e-07
Viktor Gyökeres,158.0,2597,0.026,166551790.53,9.5e-07
Romelu Lukaku,157.0,2665,0.0267,166365853.66,9.4e-07
Andrew Robertson,157.0,2652,0.0265,166328054.3,9.4e-07
Emiliano Martínez,157.0,2610,0.0261,166195785.44,9.4e-07
Yves Bissouma,157.0,2087,0.0209,166125539.05,9.5e-07
Leon Goretzka,157.0,2730,0.0273,165940659.34,9.5e-07
Marcus Thuram,157.0,3137,0.0314,165928594.2,9.5e-07
Federico Dimarco,157.0,3208,0.0321,165706982.54,9.5e-07
Moisés Caicedo,156.0,2167,0.0217,165697738.81,9.4e-07
José Gayà,157.0,3070,0.0307,165651791.53,9.5e-07
Vitinha,156.0,2045,0.0204,165559413.2,9.4e-07
Koke,157.0,3249,0.0325,165531855.96,9.5e-07
Henrikh Mkhitaryan,156.0,2707,0.0271,165368673.81,9.4e-07
Ferland Mendy,156.0,2723,0.0272,165291957.4,9.4e-07
Wojciech Szczesny,156.0,2713,0.0271,165281238.48,9.4e-07
Rodrigo Bentancur,156.0,2181,0.0218,165257221.46,9.4e-07
Duan Vlahovic,156.0,2654,0.0265,165243406.18,9.4e-07
Gabriel,156.0,2942,0.0294,165162814.41,9.4e-07
Olivier Giroud,156.0,2612,0.0261,165044027.57,9.5e-07
Ibrahima Konaté,156.0,2822,0.0282,165023742.03,9.5e-07
Yann Sommer,156.0,2637,0.0264,165008722.03,9.5e-07
Mason Mount,156.0,3126,0.0313,164976007.68,9.5e-07
Thiago Silva,156.0,2889,0.0289,164952232.61,9.5e-07
Nathan Aké,156.0,3149,0.0315,164925055.57,9.5e-07
João Palhinha,155.0,2132,0.0213,164924953.1,9.4e-07
Federico Chiesa,156.0,3314,0.0331,164897103.2,9.5e-07
Gregor Kobel,156.0,2679,0.0268,164798432.25,9.5e-07
Alphonso Davies,156.0,3029,0.0303,164794321.56,9.5e-07
Alexander Isak,156.0,2599,0.026,164726433.24,9.5e-07
Guido Rodríguez,155.0,2124,0.0212,164674199.62,9.4e-07
Serge Gnabry,156.0,3168,0.0317,164610479.8,9.5e-07
Pau Torres,156.0,2882,0.0288,164598542.68,9.5e-07
Darwin Núñez,156.0,2963,0.0296,164568005.4,9.5e-07
Franck Kessié,155.0,2071,0.0207,164508932.88,9.4e-07
Sven Botman,156.0,3051,0.0305,164476565.06,9.5e-07
Adrien Rabiot,156.0,3206,0.0321,164449157.83,9.5e-07
Sergio Canales,155.0,1988,0.0199,164365191.15,9.4e-07
Marcelo Brozovic,155.0,2106,0.0211,164327160.49,9.4e-07
Diogo Costa,155.0,2724,0.0272,164301395.01,9.4e-07
Benjamin Pavard,156.0,3065,0.0307,164291354.0,9.5e-07
Oleksandr Zinchenko,155.0,3036,0.0304,164228260.87,9.4e-07
Ben Chilwell,155.0,2711,0.0271,164222058.28,9.4e-07
Mats Hummels,155.0,2912,0.0291,164071771.98,9.4e-07
Jarrod Bowen,155.0,3218,0.0322,164049409.57,9.4e-07
Mauro Icardi,155.0,2558,0.0256,164023846.76,9.4e-07
Rafa,155.0,3082,0.0308,164023361.45,9.4e-07
Bremer,155.0,2860,0.0286,164013986.01,9.5e-07
Pervis Estupiñán,155.0,2655,0.0266,163885875.71,9.5e-07
Dani Carvajal,155.0,2874,0.0287,163862212.94,9.5e-07
Lisandro Martínez,155.0,3146,0.0315,163817228.23,9.5e-07
Randal Kolo Muani,155.0,3101,0.031,163769106.74,9.5e-07
Paulo Dybala,155.0,3215,0.0321,163744012.44,9.5e-07
Guglielmo Vicario,155.0,2766,0.0277,163739696.31,9.5e-07
Thomas Partey,155.0,3153,0.0315,163734855.69,9.5e-07
Riyad Mahrez,155.0,3069,0.0307,163666992.51,9.5e-07
Dani Olmo,155.0,3014,0.0301,163552753.82,9.5e-07
Yannick Carrasco,155.0,3175,0.0318,163492283.46,9.5e-07
Thomas Müller,155.0,3220,0.0322,163465217.39,9.5e-07
Benjamin White,155.0,3171,0.0317,163408073.16,9.5e-07
Gavi,154.0,2664,0.0266,163368618.62,9.4e-07
Giovanni Di Lorenzo,154.0,2880,0.0288,163302777.78,9.4e-07
Yan Diomandé,154.0,3017,0.0302,163284388.47,9.4e-07
Luis Alberto,153.0,1980,0.0198,163260101.01,9.4e-07
Alessandro Bastoni,154.0,2914,0.0291,163098490.05,9.4e-07
Lucas Ocampos,154.0,3250,0.0325,163075384.62,9.4e-07
Álex Grimaldo,154.0,2659,0.0266,163056412.19,9.4e-07
Julian Brandt,154.0,3171,0.0317,163016083.25,9.4e-07
Danilo Pereira,154.0,3029,0.0303,162873555.63,9.5e-07
Pedro Porro,154.0,2827,0.0283,162831977.36,9.5e-07
Lewis Dunk,154.0,2808,0.0281,162778490.03,9.5e-07
Andreas Christensen,154.0,2876,0.0288,162757997.22,9.5e-07
Leandro Trossard,154.0,3236,0.0324,162738566.13,9.5e-07
Sebastián Coates,154.0,2882,0.0288,162726578.76,9.5e-07
Manuel Akanji,154.0,3105,0.0311,162652173.91,9.5e-07
Raphinha,154.0,3018,0.0302,162583830.35,9.5e-07
Gerard Moreno,154.0,3166,0.0317,162575489.58,9.5e-07
Dominik Szoboszlai,154.0,3194,0.0319,162541014.4,9.5e-07
Mikel Merino,153.0,2100,0.021,162520952.38,9.4e-07
Teun Koopmeiners,153.0,2700,0.027,162301481.48,9.4e-07
André-Franck Zambo Anguissa,153.0,2058,0.0206,162259475.22,9.4e-07
Ricardo Horta,153.0,3305,0.0331,162244478.06,9.4e-07
Álvaro Morata,153.0,2668,0.0267,162221139.43,9.4e-07
Piotr Zielinski,152.0,1828,0.0183,162039387.31,9.4e-07
Unai Simón,153.0,2759,0.0276,161963392.53,9.4e-07
Ansu Fati,153.0,3286,0.0329,161924223.98,9.4e-07
Rodrigo De Paul,153.0,2987,0.0299,161884499.5,9.5e-07
Mikel Oyarzábal,153.0,3148,0.0315,161865946.63,9.5e-07
Julián Álvarez,153.0,3155,0.0316,161846909.67,9.5e-07
Joelinton,153.0,2715,0.0272,161797790.06,9.5e-07
Christian Pulisic,153.0,3065,0.0307,161783034.26,9.5e-07
Cody Gakpo,153.0,3125,0.0312,161751360.0,9.5e-07
Jérémy Doku,153.0,3181,0.0318,161712983.34,9.5e-07
John McGinn,153.0,3108,0.0311,161705276.71,9.5e-07
