Name,Ability,Times Acquired,Acquisition Rate,Avg Price,Ability Per Price,Win Rate
Kevin De Bruyne,190.0,11424,0.0571,22599789.92,8.41e-06,0.7102
Erling Haaland,188.0,9020,0.0451,22251995.57,8.45e-06,0.7069
Kylian Mbappé,188.0,13424,0.0671,22101013.11,8.51e-06,0.6932
Lionel Messi,185.0,13370,0.0669,22306806.28,8.29e-06,0.6705
Harry Kane,184.0,10257,0.0513,22325533.78,8.24e-06,0.6613
Vinícius Júnior,184.0,13022,0.0651,22281984.33,8.26e-06,0.6583
Rodri,180.0,11303,0.0565,22484650.09,8.01e-06,0.6389
Thibaut Courtois,181.0,15638,0.0782,21303299.65,8.5e-06,0.628
Mohamed Salah,181.0,13410,0.067,22422595.08,8.07e-06,0.6257
Jude Bellingham,177.0,7787,0.0389,22647746.24,7.82e-06,0.6171
Virgil van Dijk,178.0,9817,0.0491,22525516.96,7.9e-06,0.6142
Robert Lewandowski,178.0,9052,0.0453,22296288.11,7.98e-06,0.6037
Declan Rice,176.0,11487,0.0574,22123182.73,7.96e-06,0.598
Bernardo Silva,178.0,10896,0.0545,22150513.95,8.04e-06,0.591
Alisson,176.0,15369,0.0768,21325785.67,8.25e-06,0.5838
Joshua Kimmich,174.0,15543,0.0777,21817152.42,7.98e-06,0.5828
Marc-André ter Stegen,175.0,15223,0.0761,21002561.91,8.33e-06,0.5722
Neymar,175.0,11698,0.0585,22293981.88,7.85e-06,0.5641
Rúben Dias,173.0,10084,0.0504,22420567.24,7.72e-06,0.5601
Bukayo Saka,174.0,10996,0.055,22456529.65,7.75e-06,0.5587
Eduardo Camavinga,170.0,12404,0.062,22262495.97,7.64e-06,0.5542
Lautaro Martínez,173.0,9254,0.0463,22183272.1,7.8e-06,0.554
Martin Ødegaard,173.0,4743,0.0237,22466793.17,7.7e-06,0.5425
Luka Modric,171.0,4858,0.0243,22566899.96,7.58e-06,0.5373
Antoine Griezmann,172.0,13506,0.0675,22200059.23,7.75e-06,0.5312
Ronald Araujo,170.0,17188,0.0859,21861356.76,7.78e-06,0.5305
Jan Oblak,171.0,15430,0.0771,21335320.8,8.01e-06,0.5295
Bruno Fernandes,171.0,10870,0.0544,22552529.9,7.58e-06,0.5226
Phil Foden,169.0,11523,0.0576,22392085.39,7.55e-06,0.5184
Victor Osimhen,169.0,9097,0.0455,22472573.38,7.52e-06,0.5131
Heung-Min Son,170.0,11017,0.0551,22112825.63,7.69e-06,0.5121
Ilkay Gündogan,167.0,7741,0.0387,22263144.3,7.5e-06,0.5069
Leroy Sané,169.0,11455,0.0573,22406634.66,7.54e-06,0.4993
Frenkie de Jong,165.0,5759,0.0288,22617989.23,7.3e-06,0.4951
John Stones,166.0,17651,0.0883,21848733.78,7.6e-06,0.4939
Rodrygo,168.0,13316,0.0666,22176854.91,7.58e-06,0.4936
Federico Valverde,168.0,10845,0.0542,22330567.08,7.52e-06,0.491
Bruno Guimarães,165.0,5705,0.0285,22355828.22,7.38e-06,0.4897
Éder Militão,166.0,10069,0.0503,22184526.77,7.48e-06,0.488
Antonio Rüdiger,166.0,10051,0.0503,22229628.89,7.47e-06,0.4861
Kyle Walker,164.0,14529,0.0726,21631495.63,7.58e-06,0.4819
Ousmane Dembélé,167.0,10998,0.055,22362884.16,7.47e-06,0.4768
William Saliba,164.0,9915,0.0496,22013414.02,7.45e-06,0.4694
Gabriel Jesus,165.0,13237,0.0662,22335650.07,7.39e-06,0.4656
Trent Alexander-Arnold,162.0,15695,0.0785,21907295.32,7.39e-06,0.4655
Karim Benzema,165.0,9237,0.0462,22369384.0,7.38e-06,0.4587
Marquinhos,163.0,11575,0.0579,22323369.33,7.3e-06,0.4582
Jack Grealish,164.0,11130,0.0556,22482030.55,7.29e-06,0.4542
Kim Min-Jae,162.0,10016,0.0501,22342551.92,7.25e-06,0.4536
Cristian Romero,162.0,10116,0.0506,22206405.69,7.3e-06,0.4526
Rafael Leão,163.0,10987,0.0549,22376808.96,7.28e-06,0.4485
Theo Hernández,158.0,10684,0.0534,22155185.32,7.13e-06,0.4484
Marco Verratti,160.0,5805,0.029,22568475.45,7.09e-06,0.4463
Achraf Hakimi,161.0,14597,0.073,21493389.05,7.49e-06,0.446
Lucas Hernández,161.0,14207,0.071,22003730.56,7.32e-06,0.4448
N'Golo Kanté,160.0,5708,0.0285,22368430.27,7.15e-06,0.4425
Reece James,161.0,17328,0.0866,21743594.18,7.4e-06,0.4425
Manuel Neuer,162.0,15656,0.0783,21234095.55,7.63e-06,0.4407
Nicolò Barella,161.0,65610,0.3281,15775659.2,1.021e-05,0.4406
Hakan Çalhanoglu,160.0,7717,0.0386,22767785.41,7.03e-06,0.4393
Pedri,162.0,11410,0.057,22464417.18,7.21e-06,0.4375
Luke Shaw,159.0,14386,0.0719,22075698.6,7.2e-06,0.4372
João Cancelo,158.0,17799,0.089,21816675.09,7.24e-06,0.4368
Andrew Robertson,157.0,10771,0.0539,22399777.18,7.01e-06,0.4339
Khvicha Kvaratskhelia,162.0,6515,0.0326,22532770.53,7.19e-06,0.4319
Luis Díaz,162.0,11205,0.056,22244265.95,7.28e-06,0.4319
Gianluigi Donnarumma,161.0,15384,0.0769,21106409.26,7.63e-06,0.4292
Kieran Trippier,159.0,14364,0.0718,21772208.3,7.3e-06,0.4287
Christopher Nkunku,162.0,13525,0.0676,22199852.13,7.3e-06,0.4279
Ferland Mendy,156.0,10608,0.053,22290535.44,7e-06,0.4244
Sergej Milinkovic-Savic,160.0,4754,0.0238,22793857.8,7.02e-06,0.4234
Kingsley Coman,162.0,11052,0.0553,22365816.14,7.24e-06,0.423
David Alaba,159.0,66041,0.3302,15907496.86,1e-05,0.4211
Cristiano Ronaldo,160.0,9206,0.046,22485661.53,7.12e-06,0.4208
Matthijs de Ligt,159.0,10124,0.0506,22260964.05,7.14e-06,0.419
Enzo Fernández,158.0,7877,0.0394,22785578.27,6.93e-06,0.4186
Raheem Sterling,161.0,11269,0.0563,22293104.98,7.22e-06,0.4181
